pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02A,11,ComfyUI-GGUF,city96/ComfyUI-GGUF,CLIPLoaderGGUF,CLIPLoader (GGUF),bootleg,schema_confirmed,active,clip_name from clip + clip_gguf; type from core CLIPLoader,CLIP,Load GGUF or normal text encoder/CLIP state dicts,models/clip or models/text_encoders; .gguf supported,guarded_generate_after_local_test,no,yes,"gguf,text_encoder,model_format_sensitive",turn132file0;turn133file0,Do not mix scaled FP8 with GGUF in same CLIP loader path.
PASS_02A,11,ComfyUI-GGUF,city96/ComfyUI-GGUF,DualCLIPLoaderGGUF,DualCLIPLoader (GGUF),bootleg,schema_confirmed,active,clip_name1; clip_name2; type from core DualCLIPLoader,CLIP,Load GGUF or normal text encoder/CLIP state dicts,models/clip or models/text_encoders; .gguf supported,guarded_generate_after_local_test,no,yes,"gguf,text_encoder,model_format_sensitive",turn132file0;turn133file0,Do not mix scaled FP8 with GGUF in same CLIP loader path.
PASS_02A,11,ComfyUI-GGUF,city96/ComfyUI-GGUF,QuadrupleCLIPLoaderGGUF,QuadrupleCLIPLoader (GGUF),bootleg,schema_confirmed,active,clip_name1; clip_name2; clip_name3; clip_name4,CLIP,Load GGUF or normal text encoder/CLIP state dicts,models/clip or models/text_encoders; .gguf supported,guarded_generate_after_local_test,no,yes,"gguf,text_encoder,model_format_sensitive",turn132file0;turn133file0,Do not mix scaled FP8 with GGUF in same CLIP loader path.
PASS_02A,11,ComfyUI-GGUF,city96/ComfyUI-GGUF,TripleCLIPLoaderGGUF,TripleCLIPLoader (GGUF),bootleg,schema_confirmed,active,clip_name1; clip_name2; clip_name3,CLIP,Load GGUF or normal text encoder/CLIP state dicts,models/clip or models/text_encoders; .gguf supported,guarded_generate_after_local_test,no,yes,"gguf,text_encoder,model_format_sensitive",turn132file0;turn133file0,Do not mix scaled FP8 with GGUF in same CLIP loader path.
PASS_02A,11,ComfyUI-GGUF,city96/ComfyUI-GGUF,UnetLoaderGGUF,Unet Loader (GGUF),bootleg,schema_confirmed,active,unet_name from unet_gguf,MODEL,Load quantized diffusion/unet GGUF model,models/diffusion_models or models/unet .gguf; custom GGMLOps,guarded_generate_after_local_test,no,yes,"gguf,quantized_model,hardware_version_sensitive",turn132file0;turn133file0,Registers unet_gguf path; simple loader exposes only model selector.
PASS_02A,11,ComfyUI-GGUF,city96/ComfyUI-GGUF,UnetLoaderGGUFAdvanced,Unet Loader (GGUF/Advanced),bootleg,schema_confirmed,active,unet_name; dequant_dtype; patch_dtype; patch_on_device,MODEL,Advanced GGUF diffusion loading with dtype controls,GGUF model; dtype compatibility; VRAM behavior,guarded_generate_after_local_test,no,yes,"gguf,dtype_control,hardware_version_sensitive",turn132file0;turn133file0,
PASS_02A,12,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,AIO_Preprocessor,AIO Aux Preprocessor,ControlNet Preprocessors,schema_confirmed,active,"required image IMAGE, preprocessor combo from dynamically loaded PREPROCESSOR_OPTIONS, resolution INT",IMAGE,Universal ControlNet Aux preprocessor router using default params of selected wrapper.,controlnet_aux dependencies; node_wrappers dynamic import,guarded_generate_after_local_test,False,True,dynamic_wrapper_import;dependency_sensitive,turn134file0,"Supports broad preprocessor choice, but exact selected preprocessor schema is dynamic."
PASS_02A,12,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,ControlNetAuxSimpleAddText,ControlNetAuxSimpleAddText,ControlNet Preprocessors,schema_confirmed,active,"required image IMAGE, text STRING",IMAGE,Internal/debug helper used to annotate generated preprocessor preview images.,PIL font,do_not_generate,False,True,dynamic_wrapper_import;dependency_sensitive,turn134file0,Simple image text overlay used by ExecuteAllControlNetPreprocessors.
PASS_02A,12,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,ControlNetPreprocessorSelector,Preprocessor Selector,ControlNet Preprocessors,schema_confirmed,active,required preprocessor combo from PREPROCESSOR_OPTIONS,preprocessor option,Select a preprocessor name/string for dynamic routing.,controlnet_aux,safe_to_generate_if_controlnet_aux_installed,True,True,dynamic_wrapper_import;dependency_sensitive,turn134file0,Good UI helper; output type is selected preprocessor option.
PASS_02A,12,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,ExecuteAllControlNetPreprocessors,Execute All ControlNet Preprocessors,ControlNet Preprocessors,schema_confirmed,active,"required image IMAGE, resolution INT; requires Execution Model Inversion / updated ComfyUI",IMAGE batch,Debug/inspection node that renders all supported preprocessors; not workflow default.,controlnet_aux; ComfyUI GraphBuilder / execution model inversion,rag_only_or_expert_local_test,False,True,dynamic_wrapper_import;dependency_sensitive,turn134file0,Requires ComfyUI execution model inversion / GraphBuilder; not portable default.
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAAdapterFaceIDBatch,IPAdapter FaceID Batch,ipadapter/faceid,schema_confirmed,active,batch FaceID variant inherited from IPAdapterFaceID with unfold_batch=True,"MODEL, IMAGE face_image",Batch identity reference control.,"IPAdapter model, CLIPVision model; FaceID nodes additionally require InsightFace; models stored under ComfyUI/models/ipadapter and clip_vision/clip as applicable.",guarded_generate_after_local_test,False,True,ipadapter_model_required;clipvision_required;model_patch;batch_shape_sensitive,turn155file0 turn148file0 turn139file0 turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
