lane_id,title,freshness_class,web_verification_required_for_current_claims,source_layer_hint,profile_path,canonical_overview_path,retrieval_cards_path
01_source_ledger_evidence,Source Ledger Evidence,stable,false,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/lane_profile.json,01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/RETRIEVAL_CARDS.jsonl
02_rag_architecture_chunking_embedding,Rag Architecture Chunking Embedding,slow_changing,false,03_SOURCE_CONTENT/A_CANONICAL_SOURCE_PACKS,01_CANONICAL_RESEARCH_LANES/02_rag_architecture_chunking_embedding/lane_profile.json,01_CANONICAL_RESEARCH_LANES/02_rag_architecture_chunking_embedding/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/02_rag_architecture_chunking_embedding/RETRIEVAL_CARDS.jsonl
03_comfyui_core_api_subgraph,Comfyui Core Api Subgraph,fast_moving,true,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/lane_profile.json,01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/RETRIEVAL_CARDS.jsonl
04_comfyui_custom_node_ecosystem,Comfyui Custom Node Ecosystem,volatile,true,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/lane_profile.json,01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/RETRIEVAL_CARDS.jsonl
05_pip_runtime_dependency_knowledge,Pip Runtime Dependency Knowledge,fast_moving,true,03_SOURCE_CONTENT/A_CANONICAL_SOURCE_PACKS,01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/lane_profile.json,01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/RETRIEVAL_CARDS.jsonl
06_training_data_centric_ml_vol2,Training Data Centric Ml Vol2,slow_changing,false,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2/lane_profile.json,01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2/RETRIEVAL_CARDS.jsonl
07_cfg_denoise_inpaint_theory,Cfg Denoise Inpaint Theory,stable,false,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/lane_profile.json,01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/RETRIEVAL_CARDS.jsonl
08_compatibility_matrix_rag,Compatibility Matrix Rag,slow_changing,false,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_rag/lane_profile.json,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_rag/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_rag/RETRIEVAL_CARDS.jsonl
09_failure_signature_atlas_rag,Failure Signature Atlas Rag,stable,false,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas_rag/lane_profile.json,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas_rag/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas_rag/RETRIEVAL_CARDS.jsonl
10_workflow_pattern_library_rag,Workflow Pattern Library Rag,slow_changing,false,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_library_rag/lane_profile.json,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_library_rag/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_library_rag/RETRIEVAL_CARDS.jsonl
