pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02A,011,ComfyUI-GGUF,city96/ComfyUI-GGUF,UnetLoaderGGUF,Unet Loader (GGUF),bootleg,schema_confirmed,active,unet_name from unet_gguf,MODEL,Load quantized diffusion/unet GGUF model,models/diffusion_models or models/unet .gguf; custom GGMLOps,guarded_generate_after_local_test,no,yes,"gguf,quantized_model,hardware_version_sensitive",turn132file0;turn133file0,Registers unet_gguf path; simple loader exposes only model selector.
PASS_02A,011,ComfyUI-GGUF,city96/ComfyUI-GGUF,UnetLoaderGGUFAdvanced,Unet Loader (GGUF/Advanced),bootleg,schema_confirmed,active,unet_name; dequant_dtype; patch_dtype; patch_on_device,MODEL,Advanced GGUF diffusion loading with dtype controls,GGUF model; dtype compatibility; VRAM behavior,guarded_generate_after_local_test,no,yes,"gguf,dtype_control,hardware_version_sensitive",turn132file0;turn133file0,
PASS_02A,011,ComfyUI-GGUF,city96/ComfyUI-GGUF,CLIPLoaderGGUF,CLIPLoader (GGUF),bootleg,schema_confirmed,active,clip_name from clip + clip_gguf; type from core CLIPLoader,CLIP,Load GGUF or normal text encoder/CLIP state dicts,models/clip or models/text_encoders; .gguf supported,guarded_generate_after_local_test,no,yes,"gguf,text_encoder,model_format_sensitive",turn132file0;turn133file0,Do not mix scaled FP8 with GGUF in same CLIP loader path.
PASS_02A,011,ComfyUI-GGUF,city96/ComfyUI-GGUF,DualCLIPLoaderGGUF,DualCLIPLoader (GGUF),bootleg,schema_confirmed,active,clip_name1; clip_name2; type from core DualCLIPLoader,CLIP,Load GGUF or normal text encoder/CLIP state dicts,models/clip or models/text_encoders; .gguf supported,guarded_generate_after_local_test,no,yes,"gguf,text_encoder,model_format_sensitive",turn132file0;turn133file0,Do not mix scaled FP8 with GGUF in same CLIP loader path.
PASS_02A,011,ComfyUI-GGUF,city96/ComfyUI-GGUF,TripleCLIPLoaderGGUF,TripleCLIPLoader (GGUF),bootleg,schema_confirmed,active,clip_name1; clip_name2; clip_name3,CLIP,Load GGUF or normal text encoder/CLIP state dicts,models/clip or models/text_encoders; .gguf supported,guarded_generate_after_local_test,no,yes,"gguf,text_encoder,model_format_sensitive",turn132file0;turn133file0,Do not mix scaled FP8 with GGUF in same CLIP loader path.
PASS_02A,011,ComfyUI-GGUF,city96/ComfyUI-GGUF,QuadrupleCLIPLoaderGGUF,QuadrupleCLIPLoader (GGUF),bootleg,schema_confirmed,active,clip_name1; clip_name2; clip_name3; clip_name4,CLIP,Load GGUF or normal text encoder/CLIP state dicts,models/clip or models/text_encoders; .gguf supported,guarded_generate_after_local_test,no,yes,"gguf,text_encoder,model_format_sensitive",turn132file0;turn133file0,Do not mix scaled FP8 with GGUF in same CLIP loader path.
PASS_02A,012,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,AIO_Preprocessor,AIO Aux Preprocessor,ControlNet Preprocessors,dynamic_schema_confirmed,active,image; preprocessor combo from dynamically imported wrappers; resolution default 512,IMAGE,ControlNet preprocessor router,controlnet_aux dependencies; node_wrappers dynamic import,guarded_generate_after_wrapper_schema_check,no,yes,"dynamic_import,preprocessor_wrapper,dependency_sensitive",turn134file0,"Supports broad preprocessor choice, but exact selected preprocessor schema is dynamic."
PASS_02A,012,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,ControlNetPreprocessorSelector,Preprocessor Selector,ControlNet Preprocessors,schema_confirmed,active,preprocessor combo from PREPROCESSOR_OPTIONS,selected preprocessor,Preprocessor selector UI helper,controlnet_aux,safe_to_generate_if_aux_installed,yes,yes,"selector,dynamic_options",turn134file0,Good UI helper; output type is selected preprocessor option.
PASS_02A,012,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,ExecuteAllControlNetPreprocessors,Execute All ControlNet Preprocessors,ControlNet Preprocessors,schema_confirmed,active,image; resolution,IMAGE,Run all supported preprocessors and batch previews,controlnet_aux; ComfyUI GraphBuilder / execution model inversion,rag_only_needs_local_test,no,yes,"graph_expansion,execution_model_required,heavy_batch",turn134file0,Requires ComfyUI execution model inversion / GraphBuilder; not portable default.
PASS_02A,012,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,ControlNetAuxSimpleAddText,ControlNetAuxSimpleAddText,ControlNet Preprocessors,schema_confirmed,active,image; text,IMAGE,Text label overlay for preprocessor previews,PIL font,safe_to_generate_if_aux_installed,yes,yes,debug_overlay,turn134file0,Simple image text overlay used by ExecuteAllControlNetPreprocessors.
PASS_02A,013,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapter,IPAdapter,ipadapter,mapping_confirmed,active,main apply,MODEL,image prompting,IPAdapter models; CLIPVision; InsightFace for FaceID; optional LoRA,guarded_generate_after_schema_check,no,yes,"clipvision,model_patch,dependency_sensitive",turn135file0;turn136file0;turn139file0;turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,013,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterAdvanced,IPAdapter Advanced,ipadapter,mapping_confirmed,active,advanced apply,MODEL,image prompting advanced,IPAdapter models; CLIPVision; InsightFace for FaceID; optional LoRA,guarded_generate_after_schema_check,no,yes,"clipvision,model_patch,dependency_sensitive",turn135file0;turn136file0;turn139file0;turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,013,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterBatch,IPAdapter Batch (Adv.),ipadapter,mapping_confirmed,active,batch apply,MODEL,batch image prompting,IPAdapter models; CLIPVision; InsightFace for FaceID; optional LoRA,guarded_generate_after_schema_check,no,yes,"clipvision,model_patch,dependency_sensitive",turn135file0;turn136file0;turn139file0;turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,013,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterFaceID,IPAdapter FaceID,ipadapter,mapping_confirmed,active,faceid apply,MODEL,identity transfer,IPAdapter models; CLIPVision; InsightFace for FaceID; optional LoRA,guarded_generate_after_schema_check,no,yes,"identity,clipvision,insightface,model_patch,dependency_sensitive",turn135file0;turn136file0;turn139file0;turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,013,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterFaceIDKolors,IPAdapter FaceID Kolors,ipadapter,mapping_confirmed,active,kolors faceid apply,MODEL,identity transfer,IPAdapter models; CLIPVision; InsightFace for FaceID; optional LoRA,guarded_generate_after_schema_check,no,yes,"identity,clipvision,insightface,model_patch,dependency_sensitive",turn135file0;turn136file0;turn139file0;turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,013,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAAdapterFaceIDBatch,IPAdapter FaceID Batch,ipadapter,mapping_confirmed,active,batch faceid apply,MODEL,identity transfer batch,IPAdapter models; CLIPVision; InsightFace for FaceID; optional LoRA,guarded_generate_after_schema_check,no,yes,"identity,clipvision,insightface,model_patch,dependency_sensitive",turn135file0;turn136file0;turn139file0;turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
