verification_id,topic_lane,claim,source_url,domain,source_type,verification_status,volatility,notes
v1_4_001,13_agent_tool_use_mcp,"LangGraph is an agent orchestration framework emphasizing durable execution, streaming, human-in-the-loop, persistence, and long-running agents.",https://docs.langchain.com/oss/python/langgraph/overview,docs.langchain.com,official_docs,verified,fast_moving,"Official LangGraph docs state durable execution, streaming, human-in-the-loop and agent orchestration capabilities."
v1_4_002,13_agent_tool_use_mcp,"LangGraph supports human-in-the-loop interrupts that pause graph execution, persist state, and resume after external input.",https://docs.langchain.com/oss/python/langgraph/interrupts,docs.langchain.com,official_docs,verified,fast_moving,Official interrupt docs describe pause/resume behavior and JSON-serializable interrupt payloads.
v1_4_003,14_evaluation_observability,"Haystack is an open-source framework for production-ready AI agents, RAG applications, and scalable multimodal search systems.",https://docs.haystack.deepset.ai/docs/intro,docs.haystack.deepset.ai,official_docs,verified,fast_moving,Official Haystack intro uses this positioning and describes reusable pipeline components.
v1_4_004,02_rag_architecture_chunking_embedding,RAGFlow is an open-source RAG engine based on deep document understanding and supports citations over complex formatted data.,https://ragflow.io/docs/,ragflow.io,official_docs,verified,fast_moving,"Official quickstart describes deep document understanding, datasets, parsing intervention, and cited AI chat."
v1_4_005,02_rag_architecture_chunking_embedding,RAGFlow GitHub positions the project as a RAG engine fusing RAG with agent capabilities and deep document understanding-based extraction.,https://github.com/infiniflow/ragflow,github.com,official_repo,verified,fast_moving,GitHub README confirms deep document understanding extraction and Agent capability framing.
v1_4_006,17_model_serving_deployment,"Open WebUI includes Knowledge & RAG features for uploaded files, knowledge bases, vector search, full-content injection, and retrieval over knowledge bases.",https://docs.openwebui.com/features/,docs.openwebui.com,official_docs,verified,fast_moving,Official features page describes Knowledge & RAG and native function-calling-based retrieval.
v1_4_007,17_model_serving_deployment,Open WebUI supports changing the RAG embedding model in Admin Panel settings and supports Ollama/OpenAI embedding models.,https://docs.openwebui.com/features/chat-conversations/rag/,docs.openwebui.com,official_docs,verified,fast_moving,Official RAG docs state embedding model support and Admin Panel path.
v1_4_008,03_comfyui_core_api_subgraph,"ComfyUI official docs cover custom nodes, local API integration, built-in nodes, cloud API, and MCP-related cloud integration.",https://docs.comfy.org/,docs.comfy.org,official_docs,verified,fast_moving,"Official docs homepage lists Custom Nodes, Local API, Built-in Nodes, Cloud API, and Cloud MCP Server."
v1_4_009,04_comfyui_custom_node_ecosystem,ComfyUI custom node installation commonly involves cloning repos into the ComfyUI custom_nodes directory; official docs use ComfyUI-Manager as an example repository.,https://docs.comfy.org/development/core-concepts/custom-nodes,docs.comfy.org,official_docs,verified,fast_moving,Official custom node docs describe navigating to custom_nodes and git cloning node code.
v1_4_010,04_comfyui_custom_node_ecosystem,ComfyUI-Manager fetches local update data and applies updates through the Install Custom Nodes menu update button.,https://github.com/Comfy-Org/ComfyUI-Manager,github.com,official_repo,verified,fast_moving,Official README excerpt confirms Fetch Updates vs Update button behavior.
v1_4_011,11_gradio_ui_research,Gradio ChatInterface is the high-level abstraction for building web chatbot UIs around a function using user input and chat history.,https://www.gradio.app/docs/gradio/chatinterface,gradio.app,official_docs,verified,fast_moving,Official ChatInterface docs state it is a high-level abstraction for chatbot UIs.
v1_4_012,11_gradio_ui_research,"Gradio session state persists across multiple submits in a page session, is not shared between users, and does not persist after refresh.",https://www.gradio.app/guides/state-in-blocks,gradio.app,official_docs,verified,fast_moving,Official state guide provides exactly this session-state behavior.
v1_4_013,11_gradio_ui_research,Gradio Interface is the main high-level class for creating a web GUI/demo around a Python function or machine learning model.,https://www.gradio.app/docs/gradio/interface,gradio.app,official_docs,verified,fast_moving,Official Interface docs state it wraps a function with input/output components.
v1_4_014,02_rag_architecture_chunking_embedding,"Document chunking is a consequential RAG design decision because it determines the units stored, retrieved, and processed by AI systems.",https://www.llamaindex.ai/glossary/document-chunking-strategies,llamaindex.ai,vendor_docs_glossary,verified,slow_changing,"LlamaIndex glossary states chunking breaks large documents into smaller segments for storage, retrieval, and processing, and affects answer quality."
v1_4_015,02_rag_architecture_chunking_embedding,Chunk size should be empirically evaluated for a given RAG system rather than fixed blindly.,https://www.llamaindex.ai/blog/evaluating-the-ideal-chunk-size-for-a-rag-system-using-llamaindex-6207e5d3fec5,llamaindex.ai,vendor_blog,verified,slow_changing,LlamaIndex blog explicitly frames ideal chunk size as something to evaluate with response evaluation.
