package_id,pip_name,source_urls
PIP-0001,torch,https://pytorch.org/get-started/locally/ | https://pytorch.org/
PIP-0002,torchvision,https://pytorch.org/get-started/locally/
PIP-0003,torchaudio,https://pytorch.org/get-started/locally/
PIP-0004,xformers,https://github.com/facebookresearch/xformers | https://huggingface.co/docs/diffusers/en/optimization/xformers
PIP-0005,triton,https://triton-lang.org/ | https://pytorch.org/
PIP-0006,diffusers,https://huggingface.co/docs/diffusers/index | https://huggingface.co/docs/diffusers/en/optimization/xformers | https://huggingface.co/docs/diffusers/main/en/using-diffusers/using_safetensors
PIP-0007,transformers,https://huggingface.co/docs/transformers/en/installation | https://huggingface.co/docs/transformers/en/index | https://huggingface.co/docs/transformers/en/pipeline_tutorial
PIP-0008,accelerate,https://huggingface.co/docs/accelerate/en/index | https://huggingface.co/docs/accelerate/package_reference/accelerator | https://huggingface.co/docs/accelerate/en/basic_tutorials/install
PIP-0009,safetensors,https://huggingface.co/docs/safetensors/index | https://github.com/safetensors/safetensors | https://huggingface.co/docs/diffusers/main/en/using-diffusers/using_safetensors
PIP-0010,huggingface_hub,https://huggingface.co/docs/huggingface_hub/en/guides/download | https://huggingface.co/docs/huggingface_hub/en/package_reference/environment_variables
PIP-0011,datasets,https://huggingface.co/docs/datasets/index | https://huggingface.co/docs/datasets/installation
PIP-0012,bitsandbytes,https://huggingface.co/docs/bitsandbytes/en/installation | https://huggingface.co/docs/bitsandbytes/index
PIP-0013,lion-pytorch,https://pypi.org/project/lion-pytorch/
PIP-0014,omegaconf,https://omegaconf.readthedocs.io/en/2.3_branch/ | https://omegaconf.readthedocs.io/en/2.3_branch/usage.html
PIP-0015,gradio,https://www.gradio.app/guides/quickstart | https://www.gradio.app/docs | https://www.gradio.app/docs/gradio/mount_gradio_app
PIP-0016,fastapi,https://fastapi.tiangolo.com/tutorial/ | https://fastapi.tiangolo.com/deployment/versions/ | https://fastapi.tiangolo.com/deployment/manually/
PIP-0017,anyio,https://anyio.readthedocs.io/ | https://fastapi.tiangolo.com/
PIP-0018,pandas,https://pandas.pydata.org/ | https://pandas.pydata.org/docs/getting_started/install.html
PIP-0019,regex,https://pypi.org/project/regex/
PIP-0020,ipywidgets,https://ipywidgets.readthedocs.io/en/latest/user_install.html | https://pypi.org/project/ipywidgets/
PIP-0021,scipy,https://scipy.org/ | https://scipy.org/install/ | https://docs.scipy.org/doc/scipy/reference/
PIP-0022,ftfy,https://ftfy.readthedocs.io/ | https://pypi.org/project/ftfy/
