pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ImageRGBA2RGB,Convert RGBA to RGB 🌌 ReActor,🌌 ReActor,schema_confirmed,active,image,IMAGE,Convert RGBA image tensor to RGB.,none,safe_to_generate_when_dependency_installed,yes,no,utility_overlap,turn170file0,Prefer stock/equivalent unless already using ReActor.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorBuildFaceModel,Build Blended Face Model 🌌 ReActor,🌌 ReActor,schema_confirmed,active,save_mode; send_only; face_model_name; compute_method; optional images/face_models,FACE_MODEL,Build/blend a face model from images or existing face models.,"insightface analysis, models/reactor/faces",guarded_generate_after_local_test,no,yes,"writes_file_optional,identity_model",turn167file0;turn168file0,Can save model depending on save_mode; treat as advanced prep workflow.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorFaceBoost,ReActor 🌌 Face Booster,🌌 ReActor,schema_confirmed,active,enabled; boost_model; interpolation; visibility; codeformer_weight; restore_with_main_after,FACE_BOOST,Configure secondary face boost/restore pass.,facerestore_models,guarded_generate_after_local_test,no,yes,face_restore_model_required,turn170file0,Only useful when face restore models are installed.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorFaceSimilarity,Face Similarity 🌌 ReActor,🌌 ReActor,schema_confirmed,active,image1; image2,"FLOAT similarity, STRING text",Compute face embedding similarity between two images.,insightface/analyze_faces,safe_to_generate_when_dependency_installed,yes,yes,qa_identity_metric,turn170file0,Useful for AIWF identity QA/VQA pipelines.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorFaceSwap,ReActor 🌌 Fast Face Swap,🌌 ReActor,schema_confirmed,active,enabled; input_image; swap_model; facedetection; face_restore_model; face_restore_visibility; codeformer_weight; gender filters; face indexes; console_log_level; optional source_image/face_model/face_boost,"IMAGE swapped, FACE_MODEL, IMAGE original",Face swap plus optional face restore.,models/reactor; insightface/onnxruntime; facerestore_models; optional nsfw detector,guarded_generate_after_local_test,no,yes,"identity_sensitive,external_models,onnxruntime,face_restore",turn166file0;turn167file0;turn170file0,For legitimate identity workflows only; source requires source_image or face_model.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorFaceSwapOpt,ReActor 🌌 Fast Face Swap [OPTIONS],🌌 ReActor,schema_confirmed,active,enabled; input_image; swap_model; facedetection; face_restore controls; optional source_image/face_model/options/face_boost,"IMAGE swapped, FACE_MODEL, IMAGE original",Face swap variant with bundled options input.,same as ReActorFaceSwap,guarded_generate_after_local_test,no,yes,"identity_sensitive,options_object",turn167file0;turn170file0,Prefer this for cleaner app-like graphs using ReActorOptions.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorImageDublicator,Image Dublicator (List) 🌌 ReActor,🌌 ReActor,schema_confirmed,active,image; count,IMAGE list,Duplicate image into a list.,none,do_not_generate_utility_typo_unless_needed,no,no,"typo_id,utility_overlap",turn170file0,Class/id keeps typo Dublicator; prefer core batch/repeat utilities unless repairing a ReActor workflow.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorLoadFaceModel,Load Face Model 🌌 ReActor,🌌 ReActor,schema_confirmed,active,face_model from saved face models,"FACE_MODEL, STRING",Load saved ReActor face model.,models/reactor/faces/*.safetensors,safe_to_generate_when_dependency_installed,yes,no,model_file_required,turn167file0,Good for reusable identity workflows when user has created a model.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorMakeFaceModelBatch,Make Face Model Batch 🌌 ReActor,🌌 ReActor,schema_confirmed,active,face_model1 required; optional face_model2..face_model10,FACE_MODEL list,Batch several face models.,FACE_MODEL inputs,safe_to_generate_when_dependency_installed,yes,no,list_output,turn170file0,For advanced multi-face/blended workflows.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorMaskHelper,ReActor 🌌 Masking Helper,🌌 ReActor,schema_confirmed,active,image; swapped_image; bbox model; bbox/SAM/morphology/blur settings; optional mask,"IMAGE, MASK, IMAGE mask_preview, IMAGE swapped_face",Build face mask/composite preview around swapped region using Ultralytics/SAM.,"models/ultralytics, models/sams; segment_anything dependency",guarded_generate_after_local_test,no,yes,"ultralytics,sam,mask_composite",turn168file0,Complex helper; better for advanced workflows than beginner defaults.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorOptions,ReActor 🌌 Options,🌌 ReActor,schema_confirmed,active,"input/source face order, indexes, gender filters, console_log_level, restore_swapped_only",OPTIONS,Reusable ReActor option bundle.,none,safe_to_generate_when_dependency_installed,yes,no,none,turn170file0,Use with ReActorFaceSwapOpt.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorRestoreFace,Restore Face 🌌 ReActor,🌌 ReActor,schema_confirmed,active,image; facedetection; model; visibility; codeformer_weight,IMAGE,Standalone face restoration using GFPGAN/CodeFormer/GPEN style models.,facerestore_models,safe_to_generate_when_dependency_installed,yes,yes,face_restore_model_required,turn168file0,Useful outside face swap for old photo/portrait restore.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorRestoreFaceAdvanced,Restore Face Advanced 🌌 ReActor,🌌 ReActor,schema_confirmed,active,image; facedetection; model; visibility; codeformer_weight; face_selection; optional sort/filter/take settings,IMAGE,Face restoration with selection/filtering controls.,facerestore_models,guarded_generate_after_local_test,no,yes,"face_filtering,face_restore_model_required",turn168file0,Use when multiple faces need controlled restoration order/selection.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorSaveFaceModel,Save Face Model 🌌 ReActor,🌌 ReActor,schema_confirmed,active,save_mode; face_model_name; select_face_index; optional image/face_model,none output node,Save extracted face model to models/reactor/faces.,models/reactor/faces,guarded_generate_after_local_test,no,yes,"writes_file,identity_model",turn168file0;turn170file0,Output node; do not insert unless workflow explicitly builds/saves a face model.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorSetWeight,ReActor 🌌 Set Face Swap Weight,🌌 ReActor,schema_confirmed,active,input_image; faceswap_weight; optional source_image/face_model,"IMAGE, FACE_MODEL",Blend face model/source influence by repeated embeddings/images.,FACE_MODEL or source image,guarded_generate_after_local_test,no,yes,identity_embedding_blend,turn167file0,Use only after understanding face-model blending behavior.
PASS_02C,21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,ReActorUnload,Unload ReActor Models 🌌 ReActor,🌌 ReActor,schema_confirmed,active,trigger IMAGE,IMAGE,Unload all ReActor models and pass trigger image through.,ReActor loaded models,guarded_generate_after_local_test,no,yes,"memory_cleanup,side_effect_node",turn170file0,Side-effect cleanup node; use only in long app/batch workflows.
