pack_number,pack_name,repo,row_count,safe_to_generate,local_test_required,notes
11,ComfyUI-GGUF,city96/ComfyUI-GGUF,,,,
12,comfyui_controlnet_aux,Fannovel16/comfyui_controlnet_aux,,,,
13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,,,,
14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,,,,
15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,,,,
16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,,,,
17,ComfyUI-Impact-Subpack,ltdrdata/ComfyUI-Impact-Subpack,,,,
18,ComfyUI-Inpaint-CropAndStitch,lquesada/ComfyUI-Inpaint-CropAndStitch,,,,
19,ComfyUI-segment-anything-2,kijai/ComfyUI-segment-anything-2,,,,
20,comfyui_segment_anything,storyicon/comfyui_segment_anything,,,,
21,ComfyUI-ReActor,Gourieff/ComfyUI-ReActor,,,,
22,ComfyUI-LTXVideo,Lightricks/ComfyUI-LTXVideo,,,,
23,ComfyUI-HunyuanVideoWrapper,kijai/ComfyUI-HunyuanVideoWrapper,,,,
24,AnimateDiff Evolved,Kosinkadink/ComfyUI-AnimateDiff-Evolved,,,,
25,ComfyUI-SUPIR,kijai/ComfyUI-SUPIR,,,,
26,UltimateSDUpscale,ssitu/ComfyUI_UltimateSDUpscale,,,,
27,ComfyUI-nunchaku,nunchaku-ai/ComfyUI-nunchaku,,,,
28,x-flux-comfyui,XLabs-AI/x-flux-comfyui,,,,
29,ComfyUI-Fluxtapoz,logtd/ComfyUI-Fluxtapoz,,,,
30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,,,,
31,Efficiency Nodes for ComfyUI Version 2.0+,jags111/efficiency-nodes-comfyui,,,,
32,WAS Node Suite Revised,ltdrdata/was-node-suite-comfyui,,,,
33,MTB Nodes,melMass/comfy_mtb,,,,
34,Comfyroll Studio,Suzie1/ComfyUI_Comfyroll_CustomNodes,,,,
35,ComfyUI_tinyterraNodes,TinyTerra/ComfyUI_tinyterraNodes,,,,
36,ComfyUI Browser,talesofai/comfyui-browser,,,,
37,ComfyUI Workspace Manager - Comfyspace,11cafe/comfyui-workspace-manager,,,,
38,ComfyUI-Copilot,AIDC-AI/ComfyUI-Copilot,,,,
39,ComfyUI-Image-Selector,SLAPaper/ComfyUI-Image-Selector,,,,
40,ImagesGrid,LEv145/images-grid-comfy-plugin,,,,
41,Save Image with Generation Metadata,giriss/comfy-image-saver,,,,
42,SD Prompt Reader,receyuki/comfyui-prompt-reader-node,,,,
43,DynamicPrompts Custom Nodes,adieyal/comfyui-dynamicprompts,,,,
44,One Button Prompt,AIrjen/OneButtonPrompt,,,,
