topic,source_claim,status,verification_basis,canonical_url,recommended_action
20_data_engineering_for_ai,Petra Heck et al. CAIN/arXiv mapping study on data engineering for AI systems,verified_primary,"arXiv record verifies title, author Petra Heck, 25 relevant papers from Jan 2019-Jun 2023, and AI data engineering lifecycle framing.",https://arxiv.org/abs/2402.05156,Keep as primary academic anchor.
20_data_engineering_for_ai,Jarrahi et al. The Principles of Data-Centric AI in Communications of the ACM,verified_primary,"ACM/CACM record verifies title, authors, publication venue, and DOI.",https://dl.acm.org/doi/10.1145/3571724,Keep as data-centric AI foundation.
20_data_engineering_for_ai,Feast supports point-in-time correct historical feature retrieval,verified_official,Feast official docs state Feast can join features point-in-time correctly and reproduce feature state at a point in the past.,https://docs.feast.dev/getting-started/concepts/point-in-time-joins,Replace generic Feast docs URL with exact point-in-time joins URL.
20_data_engineering_for_ai,Feast get_historical_features abstracts point-in-time join complexity,verified_official,Feast official feature retrieval docs describe get_historical_features and point-in-time join behavior.,https://docs.feast.dev/getting-started/concepts/feature-retrieval,Pin alongside point-in-time joins.
20_data_engineering_for_ai,LanceDB as multimodal lakehouse for AI and Lance-based AI/ML workloads,verified_official,Official LanceDB docs describe LanceDB as a multimodal lakehouse for AI built on Lance.,https://docs.lancedb.com/,Use official docs for general LanceDB claims.
20_data_engineering_for_ai,DVC/lakeFS data versioning and DVC joined lakeFS family,verified_official,DVC homepage describes Git-like data/model/experiment versioning and notes DVC community joining lakeFS family.,https://dvc.org/,Keep but avoid claiming a fully unified technical product unless citing a specific integration doc.
21_audio_speech_music_ai,NVIDIA PersonaPlex January 2026 full-duplex voice AI,verified_primary_corrected,"NVIDIA Research project page dated Jan 15, 2026 describes PersonaPlex as a full-duplex model that listens and speaks at the same time.",https://research.nvidia.com/labs/adlr/personaplex/,Correct v1.5 not_found status to verified; cite NVIDIA Research or the NVIDIA Hugging Face model card.
21_audio_speech_music_ai,NVIDIA PersonaPlex model card / 7B v1 release,verified_model_card,"NVIDIA Hugging Face model card lists PersonaPlex-7B-v1, code/demo/paper links, and Jan 2026 release metadata.",https://huggingface.co/nvidia/personaplex-7b-v1,Use as model-card anchor; keep research page as primary concept anchor.
21_audio_speech_music_ai,"Qwen3-TTS technical report: multilingual, controllable, streaming TTS with 3-second voice cloning",verified_primary,"Technical report verifies Qwen3-TTS series, multilingual/controllable/streaming framing, 3-second voice cloning, and description-based control.",https://arxiv.org/html/2601.15621v1,Keep as primary source.
21_audio_speech_music_ai,Qwen3-TTS 0.6B and 1.7B model family and supported languages,verified_official,Official Qwen3-TTS repository lists 0.6B and 1.7B Base/CustomVoice/VoiceDesign models and language support.,https://github.com/QwenLM/Qwen3-TTS,Use official repo/model cards for variant claims.
21_audio_speech_music_ai,Fish Audio S2 / S2 Pro multilingual expressive TTS,verified_primary_or_official,"Fish Audio S2 technical report verifies open-sourced TTS, multi-speaker/multi-turn generation, instruction-following control, and staged data pipeline.",https://arxiv.org/html/2603.08823v2,Keep as primary report; use HF model card for S2 Pro product-level claims.
