decision,recommended_default,workflow_target,priority,confidence,source_basis,guardrails,pass02k_source_action
modern_local_video_default,Wan 2.2 5B TI2V native ComfyUI,AIWF_MODERN_VIDEO_01_WAN22_5B_NATIVE,P0,high_from_uploaded_report_plus_official_template,turn305file0;turn303file0,Verify ComfyUI version supports Wan 2.2 core nodes; model downloads are large; keep 14B separate from 5B.,retained_from_02J_and_linked_to_source_register
modern_local_video_advanced,Wan 2.2 14B T2V + Lightx2v 4-step Lightning LoRAs,AIWF_MODERN_VIDEO_02_WAN22_14B_LIGHTNING,P1,medium_high_from_uploaded_report_plus_official_template,turn305file0;turn304file0,24 GB-class workflow; do not present as beginner default; exact subgraph internals should be inspected before generating JSON.,retained_from_02J_and_linked_to_source_register
sd15_legacy_animation,AnimateDiff Evolved Gen2 with mm_sd_v15_v2.ckpt and context options,AIWF_LEGACY_VIDEO_01_ANIMATEDIFF_SD15,P2,medium_from_uploaded_report_plus_existing_pass02D_mapping,turn305file0;existing_pass02D,Frame explicitly as legacy; avoid HotshotXL as default; use Advanced-ControlNet only when needed.,retained_from_02J_and_linked_to_source_register
modern_inpainting_default,CropAndStitch + core InpaintModelConditioning + Acly Fooocus inpaint nodes,AIWF_MODERN_INPAINT_01_CROP_STITCH_FOOOCUS,P0,high_from_uploaded_report_plus_prior_schema,turn305file0;prior_pass02C;prior_pass02A,Fooocus inpaint patch is non-distilled SDXL only; do not use Turbo/Lightning/Hyper merges for Fooocus patch workflows.,retained_from_02J_and_linked_to_source_register
automatic_masking_for_inpaint,Kijai SAM2 + PointsEditor/KJNodes + InpaintCrop,AIWF_MODERN_INPAINT_02_SAM2_AUTOMASK,P1,high_from_uploaded_report_plus_prior_schema,turn305file0;prior_pass02C;prior_pass02I,Model files and UI point-selection behavior need local testing; avoid overclaiming fully automatic perfection.,retained_from_02J_and_linked_to_source_register
face_quality_default,Impact Pack FaceDetailer + Impact Subpack UltralyticsDetectorProvider,AIWF_FACE_01_FACEDETAILER_DEFAULT,P0,high_from_uploaded_report_plus_prior_schema,turn305file0;prior_pass01J;prior_pass02C,Requires face_yolov8m and SAM model; treat video/batch face detailing separately.,retained_from_02J_and_linked_to_source_register
identity_control,IPAdapter for SD1.5/SDXL style/identity; InstantID/PuLID/InfiniteYou/HyperLoRA as advanced identity/adaptation systems,AIWF_IDENTITY_01_IPADAPTER_SDXL; AIWF_IDENTITY_02_INSTANTID_OR_PULID,P1,medium_high_from_uploaded_report_plus_prior_schema,turn305file0;prior_pass02B;prior_pass02I,InsightFace model licensing can be non-commercial-research-only; avoid defaulting to ReActor in beginner material.,retained_from_02J_and_linked_to_source_register
upscale_default_modern,UltimateSDUpscale,AIWF_UPSCALE_01_ULTIMATE_SDUPSCALE_COMPARE,P0,high_from_uploaded_report_plus_prior_schema,turn305file0;prior_pass02D;prior_pass02H,Use conservative denoise/tile settings; distinguish deterministic pixel upscale from generative upscale.,retained_from_02J_and_linked_to_source_register
advanced_restoration,SUPIR and CCSR as optional/restoration comparison paths,AIWF_UPSCALE_02_SUPIR_CCSR_COMPARE,P2,medium_from_uploaded_report_plus_prior_schema,turn305file0;prior_pass02D;prior_pass02H,SUPIR weights may be non-commercial; CCSR has strong tile/seed/timing controls; both need local testing.,retained_from_02J_and_linked_to_source_register
modern_essentials_install_set,"Manager, rgthree, Custom-Scripts, KJNodes, Impact Pack/Subpack, VHS, controlnet_aux, GGUF",AIWF_INSTALL_PROFILE_MODERN_TIER,P0,medium_high_from_uploaded_report_plus_prior_coverage,turn305file0;prior_pass01;prior_pass02,Pin commits for guide workflows; mark custom nodes as moving targets.,retained_from_02J_and_linked_to_source_register
research_depth_policy,light coverage by default; dense only for first-of-type/new-2026/base-model-specific/missing-capability packs,all_future_node_research_passes,P0,user_confirmed_in_chat,SRC-CHAT-001,Do not under-research first-of-type nodes; do not socket-sweep every legacy utility pack.,added_from_chat_review
download_popularity_policy,treat anything over 10000 downloads as high-value for coverage priority,coverage_ledger_prioritization,P0,user_confirmed_in_chat,SRC-CHAT-001,"Popularity does not override safety, licensing, or exact schema verification for generated JSON.",added_from_chat_review
workflow_generation_policy,do not generate workflow JSON from source_report_overlay or mapping-only rows unless class_type and inputs are confirmed,future_workflow_json_builder,P0,project_rule_from_red_node_failures,SRC-CHAT-001;PASS_02_NODE_INDEX.csv,"Exact class_type, socket schema, and risky dependency notes must be known before JSON generation.",reinforced_from_chat_review
