pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,UNETLoader,UNETLoader / Diffusion Model Loader,core/video/wan,template_confirmed,active_core,Loads Wan 2.2 diffusion model file from models/diffusion_models; 5B uses wan2.2_ti2v_5B_fp16.safetensors; 14B uses high/low-noise fp8_scaled expert models.,MODEL,Native Wan 2.2 model loading for local ComfyUI video generation.,Wan 2.2 diffusion models; ComfyUI core >= template version 0.3.45 for 5B template.,safe_generate_native_core_after_comfy_version_check,yes,yes,"model_size,download_required,wan22,core_version_sensitive",uploaded_field_report:turn305file0;official_template:turn303file0;official_template:turn304file0,Field report makes native Wan 2.2 the modern-tier default; official template confirms UNETLoader and model file placement.
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,CLIPLoader,CLIPLoader / Wan UMT5 Text Encoder,core/video/wan,template_confirmed,active_core,clip_name=umt5_xxl_fp8_e4m3fn_scaled.safetensors; type=wan; device option default in official templates.,CLIP,Native Wan text encoder loading.,umt5_xxl_fp8_e4m3fn_scaled.safetensors in models/text_encoders.,safe_generate_native_core_after_comfy_version_check,yes,yes,"text_encoder,wan22,fp8,download_required",uploaded_field_report:turn305file0;official_template:turn303file0;official_template:turn304file0,Use type wan. Report and official templates agree on UMT5 encoder path.
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,VAELoader,VAELoader / Wan VAE,core/video/wan,template_confirmed,active_core,5B template loads wan2.2_vae.safetensors; 14B T2V template lists wan_2.1_vae.safetensors.,VAE,Native Wan VAE loading for video latent decode/encode paths.,models/vae/wan2.2_vae.safetensors for 5B; models/vae/wan_2.1_vae.safetensors for 14B T2V template.,safe_generate_native_core_after_variant_check,yes,yes,"variant_specific,vae,wan22",uploaded_field_report:turn305file0;official_template:turn303file0;official_template:turn304file0,Do not assume 2.2 VAE for all Wan 2.2 variants; 14B template explicitly lists wan_2.1_vae.
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,ModelSamplingSD3,ModelSamplingSD3 / Wan shift model sampling,core/video/wan,template_confirmed,active_core,MODEL; shift widget. Official 5B template uses shift=8; report states 14B uses shift=5.,MODEL,Apply Wan-relevant sampling shift before KSampler.,ComfyUI core node.,safe_generate_with_variant_specific_shift,yes,yes,"settings_sensitive,variant_specific,wan22",uploaded_field_report:turn305file0;official_template:turn303file0;official_template:turn304file0,Hardcode shift only per workflow variant: 5B TI2V shift 8; 14B report/template path uses shift 5.
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,Wan22ImageToVideoLatent,Wan22ImageToVideoLatent,core/video/wan,template_confirmed,active_core,"VAE required; optional start_image IMAGE; widgets width, height, length, batch. Official 5B example: 1280,704,121,1.",LATENT,Native Wan 2.2 5B TI2V/I2V latent creation.,ComfyUI core Wan 2.2 support; optional LoadImage for I2V.,safe_generate_native_core_after_comfy_version_check,yes,yes,"wan22,video_latent,length_memory_sensitive",uploaded_field_report:turn305file0;official_template:turn303file0,Exact class_type has double 2: Wan22ImageToVideoLatent. Strong default for beginner modern-tier video.
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,KSampler,KSampler / Wan 5B default sampler,core/video/wan,template_confirmed,active_core,"MODEL, positive, negative, latent_image; official 5B template uses 20 steps, cfg 5, uni_pc sampler, simple scheduler, denoise 1.0.",LATENT,Native Wan 2.2 5B sampling.,ComfyUI core; Wan model stack upstream.,safe_generate_with_variant_specific_settings,yes,yes,"sampler_settings,wan22,performance_sensitive",uploaded_field_report:turn305file0;official_template:turn303file0,5B default is conservative/simple; do not confuse with wrapper custom samplers.
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,CreateVideo,CreateVideo,core/video/output,template_confirmed,active_core,images IMAGE; optional audio AUDIO; fps widget. Official 5B template uses fps=24.,VIDEO,Core video object creation before SaveVideo.,ComfyUI core video output support.,safe_generate_native_core_after_comfy_version_check,yes,yes,"video_output,core_version_sensitive",uploaded_field_report:turn305file0;official_template:turn303file0,Modern core replacement for some simpler video export needs; VHS remains useful for advanced video I/O.
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,SaveVideo,SaveVideo,core/video/output,template_confirmed,active_core,video VIDEO; filename/preset widgets in official templates.,OUTPUT_NODE,Core video saving.,ComfyUI core video output support.,safe_generate_native_core_after_comfy_version_check,yes,yes,"video_output,codec_environment_sensitive",uploaded_field_report:turn305file0;official_template:turn303file0;official_template:turn304file0,Use core SaveVideo for native Wan templates; use VHS when needing image sequence/video/audio convenience features.
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,LoraLoaderModelOnly,LoraLoaderModelOnly / Wan 14B Lightning LoRA,core/video/wan,template_report_confirmed,active_core,MODEL plus LoRA name/strength for model-only LoRA application; report notes high/low-noise 14B Lightning LoRA nodes.,MODEL,Apply Wan 2.2 14B high/low noise Lightx2v 4-step LoRAs.,wan2.2_t2v_lightx2v_4steps_lora_v1.1_high_noise.safetensors and low_noise variant in models/loras.,guarded_generate_advanced_variant_after_model_download_check,no,yes,"wan22_14b,lightning_lora,24gb_plus,performance_sensitive",uploaded_field_report:turn305file0;official_template:turn304file0,"Advanced 14B path; not beginner default. Treat as high-fidelity/turbo variant, not the starter workflow."
PASS_02J,990,ComfyUI Core Native Wan 2.2,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,EmptyHunyuanLatentVideo,EmptyHunyuanLatentVideo / Wan 14B empty latent path,core/video/wan,field_report_claim_needs_template_node_local_check,active_core,Report says Wan 2.2 14B T2V uses EmptyHunyuanLatentVideo for empty latent.,LATENT,Wan 2.2 14B empty video latent creation in native template path.,ComfyUI core; Wan 14B stack.,guarded_generate_after_opening_exact_template_node,no,yes,"field_report_claim,wan22_14b,template_subgraph_hidden",uploaded_field_report:turn305file0;official_template:turn304file0,14B official template uses subgraph in the fetched snippet; exact internal node should be inspected before auto-generating.
