pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_ApplyFooocusInpaint,Apply Fooocus Inpaint,inpaint,schema_confirmed,active,model; inpaint patch; latent with noise_mask,MODEL,apply Fooocus patch to model,Fooocus inpaint patch; compatible base model,guarded_generate_after_local_test,no,yes,"model_patch,version_sensitive",turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_ColorMatch,Color Match (Masked),inpaint,schema_confirmed,active,target; reference; optional exclude_mask; strength,IMAGE,masked color matching after inpaint/composite,kornia,safe_to_generate_if_inpaint_pack_installed,yes,yes,"color_match,mask_postprocess",turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_DenoiseToCompositingMask,Denoise to Compositing Mask,inpaint,schema_confirmed,active,mask; offset; threshold,MASK,convert denoise mask into compositing mask,mask math,safe_to_generate_if_inpaint_pack_installed,yes,yes,mask_postprocess,turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_ExpandMask,Expand Mask,inpaint,schema_confirmed,active,mask; grow; blur; blur_type,MASK,grow and blur mask,mask ops,safe_to_generate_if_inpaint_pack_installed,yes,yes,mask_preprocess,turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_InpaintWithModel,Inpaint (using Model),inpaint,schema_confirmed,active,inpaint_model; image; mask; seed; optional upscale_model,IMAGE,run model-based inpaint fill,LaMa/MAT model; optional upscale model,guarded_generate_after_local_test,no,yes,"model_file_required,batch_processing",turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_LoadFooocusInpaint,Load Fooocus Inpaint,inpaint,schema_confirmed,active,head; patch from models/inpaint,INPAINT_PATCH,load Fooocus inpaint head/patch,inpaint model files,guarded_generate_after_local_test,no,yes,"model_file_required,model_patch",turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_LoadInpaintModel,Load Inpaint Model,inpaint,schema_confirmed,active,model_name from models/inpaint,INPAINT_MODEL,load LaMa/MAT inpaint model,spandrel; LaMa or MAT model files,guarded_generate_after_local_test,no,yes,"model_file_required,spandrel",turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_MaskBoundingBox,Mask Bounding Box,inpaint,schema_confirmed,active,mask,"INT x, INT y, INT width, INT height",extract mask bbox dimensions,mask nonzero operation,safe_to_generate_if_inpaint_pack_installed,yes,yes,"bbox,mask_utility",turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_MaskedBlur,Blur Masked Area,inpaint,schema_confirmed,active,image; mask; blur; falloff,IMAGE,blur masked area,kornia/torch image ops,safe_to_generate_if_inpaint_pack_installed,yes,yes,mask_preprocess,turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_MaskedFill,Fill Masked Area,inpaint,schema_confirmed,active,image; mask; fill neutral/telea/navier-stokes; falloff,IMAGE,pre-fill masked area,cv2 for telea/navier-stokes,safe_to_generate_if_inpaint_pack_installed,yes,yes,"cv2_optional,mask_preprocess",turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_ShrinkMask,Shrink Mask,inpaint,schema_confirmed,active,mask; shrink; blur; blur_type,MASK,shrink and blur mask,mask ops,safe_to_generate_if_inpaint_pack_installed,yes,yes,mask_preprocess,turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_StabilizeMask,Stabilize Mask,inpaint,schema_confirmed,active,mask; epsilon,MASK,clamp near-white mask to stable binary-ish mask,mask ops,safe_to_generate_if_inpaint_pack_installed,yes,yes,mask_cleanup,turn141file0;turn142file0,
PASS_02A,14,comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,INPAINT_VAEEncodeInpaintConditioning,VAE Encode & Inpaint Conditioning,inpaint,schema_confirmed,active,positive; negative; vae; pixels; mask,"CONDITIONING, CONDITIONING, LATENT, LATENT",encode inpaint conditioning and latents,ComfyUI inpaint conditioning path,safe_to_generate_if_inpaint_pack_installed,yes,yes,"inpaint,latent_mask",turn141file0;turn142file0,
