change_type,old_path,new_or_current_path
rename,09_EVALUATION_HARNESS/lane_eval_sets/02_rag_architecture_chunking_embedding_eval.jsonl,09_EVALUATION_HARNESS/lane_eval_sets/02_atlas_architecture_chunking_embedding_eval.jsonl
rename,11_PROMPT_PACKS/default_workflow_prompts/rag_ingestion_workflow_default_prompt.md,11_PROMPT_PACKS/default_workflow_prompts/atlas_ingestion_workflow_default_prompt.md
rename,09_EVALUATION_HARNESS/lane_eval_sets/10_workflow_pattern_library_rag_eval.jsonl,09_EVALUATION_HARNESS/lane_eval_sets/10_workflow_pattern_atlas_library_eval.jsonl
rename,09_EVALUATION_HARNESS/lane_eval_sets/09_failure_signature_atlas_rag_eval.jsonl,09_EVALUATION_HARNESS/lane_eval_sets/09_failure_signature_atlas_eval.jsonl
rename,09_EVALUATION_HARNESS/lane_eval_sets/08_compatibility_matrix_rag_eval.jsonl,09_EVALUATION_HARNESS/lane_eval_sets/08_compatibility_matrix_atlas_eval.jsonl
rename,09_EVALUATION_HARNESS/raw_rag_vs_adapter_comparison_plan_current.md,09_EVALUATION_HARNESS/raw_files_vs_atlas_comparison_plan_current.md
rename,01_CANONICAL_RESEARCH_LANES/02_rag_architecture_chunking_embedding,01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding
rename,01_CANONICAL_RESEARCH_LANES/35_adapter_evaluation_benchmarking,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking
rename,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_library_rag,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_atlas_library
rename,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas_rag,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas
rename,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_rag,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_atlas
rename,08_INGESTION_PROTOCOLS/GRADIO_RAG_APP_PROFILE.md,08_INGESTION_PROTOCOLS/GRADIO_ATLAS_APP_PROFILE.md
rename,12_RETRIEVAL_RECIPES/rag_chunking_strategy.json,12_RETRIEVAL_RECIPES/atlas_chunking_strategy.json
rename,00_AI_READ_FIRST/ADAPTER_OPERATING_CONTRACT.md,00_AI_READ_FIRST/ATLAS_OPERATING_CONTRACT.md
rename,11_PROMPT_PACKS/rag_librarian_prompt.md,11_PROMPT_PACKS/atlas_librarian_prompt.md
rename,AIWF_KNOWLEDGE_ADAPTER_PROFILE.json,AIWF_ATLAS_PROFILE.json
text_update,,00_AI_READ_FIRST/00_LOAD_ORDER.md
text_update,,00_AI_READ_FIRST/AIWF_BRAND_ROLE_MAP.md
text_update,,00_AI_READ_FIRST/AIWF_BRAND_VOICE_AND_POSITIONING.md
text_update,,00_AI_READ_FIRST/ANSWER_STYLE_AND_CITATION_RULES.md
text_update,,00_AI_READ_FIRST/ATLAS_OPERATING_CONTRACT.md
text_update,,00_AI_READ_FIRST/CANONICAL_AIWF_TERMINOLOGY.md
text_update,,00_AI_READ_FIRST/CHUNKING_AND_INDEXING_GUIDE.md
text_update,,00_AI_READ_FIRST/CONFIDENCE_AND_ANSWER_GATING.md
text_update,,00_AI_READ_FIRST/EDITORIAL_CONSISTENCY_GUIDE.md
text_update,,00_AI_READ_FIRST/EVALUATION_HARNESS_USE_POLICY.md
text_update,,00_AI_READ_FIRST/GRADIO_LEARNING_GUIDE_INTEGRATION_POLICY.md
text_update,,00_AI_READ_FIRST/HOW_TO_USE_THIS_KNOWLEDGE_SET.md
text_update,,00_AI_READ_FIRST/LIMITS_AND_NON_GOALS.md
text_update,,00_AI_READ_FIRST/MACHINE_GOVERNANCE_SUMMARY.md
text_update,,00_AI_READ_FIRST/MACHINE_USE_MASTER_INDEX.md
text_update,,00_AI_READ_FIRST/QUERY_ROUTING_MATRIX.md
text_update,,00_AI_READ_FIRST/RETRIEVAL_POLICY.md
text_update,,00_AI_READ_FIRST/SOURCE_PRIORITY_AND_CONFLICT_RESOLUTION.md
text_update,,00_AI_READ_FIRST/SYSTEM_PROMPT_FOR_AI_ASSISTANTS.md
text_update,,00_AI_READ_FIRST/TOPICS_20_25_CANONICAL_SOURCE_CORRECTIONS.md
text_update,,00_AI_READ_FIRST/VISUAL_ASSET_USE_POLICY.md
text_update,,01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/lane_profile.json
text_update,,01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_atlas/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_atlas/lane_profile.json
text_update,,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_atlas/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas/lane_profile.json
text_update,,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_atlas_library/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_atlas_library/lane_profile.json
text_update,,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_atlas_library/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research/CONCEPT_MAP.md
text_update,,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research/EMBEDDING_AND_CHUNKING_STRATEGY.md
text_update,,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/RETRIEVAL_CARDS.jsonl
text_update,,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/RETRIEVAL_CARDS.jsonl
text_update,,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/RETRIEVAL_CARDS.jsonl
text_update,,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/15_safety_security_red_team/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/15_safety_security_red_team/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/15_safety_security_red_team/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/16_governance_licensing_ethics/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/16_governance_licensing_ethics/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/16_governance_licensing_ethics/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/RETRIEVAL_CARDS.jsonl
text_update,,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/RETRIEVAL_CARDS.jsonl
text_update,,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/vol1_lane_manifest.json
text_update,,01_CANONICAL_RESEARCH_LANES/19_math_for_ai_practitioners/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/19_math_for_ai_practitioners/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/19_math_for_ai_practitioners/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/20_data_engineering_for_ai/CONCEPT_MAP.md
text_update,,01_CANONICAL_RESEARCH_LANES/20_data_engineering_for_ai/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/20_data_engineering_for_ai/SOURCE_COVERAGE.md
text_update,,01_CANONICAL_RESEARCH_LANES/21_audio_speech_music_ai/CONCEPT_MAP.md
text_update,,01_CANONICAL_RESEARCH_LANES/21_audio_speech_music_ai/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/21_audio_speech_music_ai/SOURCE_COVERAGE.md
text_update,,01_CANONICAL_RESEARCH_LANES/22_vision_language_ocr_document_ai/CONCEPT_MAP.md
text_update,,01_CANONICAL_RESEARCH_LANES/22_vision_language_ocr_document_ai/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/22_vision_language_ocr_document_ai/SOURCE_COVERAGE.md
text_update,,01_CANONICAL_RESEARCH_LANES/23_synthetic_data_dataset_creation/CONCEPT_MAP.md
text_update,,01_CANONICAL_RESEARCH_LANES/23_synthetic_data_dataset_creation/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/23_synthetic_data_dataset_creation/SOURCE_COVERAGE.md
text_update,,01_CANONICAL_RESEARCH_LANES/24_ai_application_architecture/CONCEPT_MAP.md
text_update,,01_CANONICAL_RESEARCH_LANES/24_ai_application_architecture/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/24_ai_application_architecture/SOURCE_COVERAGE.md
text_update,,01_CANONICAL_RESEARCH_LANES/25_hardware_cost_performance_planning/CONCEPT_MAP.md
text_update,,01_CANONICAL_RESEARCH_LANES/25_hardware_cost_performance_planning/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/25_hardware_cost_performance_planning/SOURCE_COVERAGE.md
text_update,,01_CANONICAL_RESEARCH_LANES/26_comfyui_advanced_node_io_datatypes/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/27_comfyui_custom_node_development_patterns/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/28_comfyui_workflow_api_graph_subgraph_advanced/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/29_comfyui_frontend_extensions_ui_controls/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/30_comfyui_troubleshooting_migration_packaging/GAP_AUDIT_AND_VOL2_QUEUE.md
text_update,,01_CANONICAL_RESEARCH_LANES/32_comfyui_workflow_api_automation_gradio_bridge/EMBEDDING_AND_CHUNKING_STRATEGY.md
text_update,,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking/CANONICAL_OVERVIEW.md
text_update,,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking/CONCEPT_MAP.md
text_update,,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking/QA_TEST_PROMPTS.md
text_update,,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking/README_VOL1.md
text_update,,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking/RETRIEVAL_CARDS.jsonl
text_update,,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking/VOL1_SCOPE.md
text_update,,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking/lane_profile.json
text_update,,01_CANONICAL_RESEARCH_LANES/35_atlas_evaluation_benchmarking/vol1_lane_manifest.json
text_update,,02_RETRIEVAL_INDEX/CANONICAL_RETRIEVAL_CARDS_CURRENT.jsonl
text_update,,02_RETRIEVAL_INDEX/CURRENT_LANE_SUMMARY.md
text_update,,02_RETRIEVAL_INDEX/README.md
text_update,,02_RETRIEVAL_INDEX/machine_lane_index.csv
text_update,,02_RETRIEVAL_INDEX/machine_lane_index.json
text_update,,04_MANIFESTS/ACTIVE_MANIFESTS_README.md
text_update,,04_MANIFESTS/ATLAS_SOURCE_URL_INVENTORY_CURRENT.csv
text_update,,04_MANIFESTS/ATLAS_SOURCE_URL_INVENTORY_CURRENT.jsonl
