topic,source_claim,status,verification_basis,canonical_url,notes
20_data_engineering_for_ai,Feast documentation for feature stores and point-in-time correctness,needs_exact_url,Not manually opened in this focused pass; source family is plausible but exact citation URL should be pinned.,https://docs.feast.dev/,Add official docs URL before treating as verified.
21_audio_speech_music_ai,"NVIDIA PersonaPlex Jan 2026 announcement, full-duplex voice AI",not_found_high_risk,Focused web search did not locate an NVIDIA PersonaPlex official announcement.,,Do not use as verified. Replace with verified full-duplex/open voice-agent sources or mark as unverified until found.
21_audio_speech_music_ai,Kokoro-82M on-device / edge TTS performance,partially_verified,Multiple 2026 sources and model/API pages verify Kokoro-82M as lightweight/on-device-friendly TTS; official single canonical model card should be pinned.,https://www.together.ai/models/kokoro-82m,Use 82M parameter claim as verified; keep latency claims source-specific.
21_audio_speech_music_ai,WebRTC + Gradio real-time audio streaming patterns,needs_exact_url,Not manually verified in this pass. Gradio audio docs likely exist; exact guide URL needs pinning.,https://www.gradio.app/docs,Add exact Gradio streaming/audio guide citation.
22_vision_language_ocr_document_ai,Qwen3-VL-235B-A22B Technical Report; OCR 32+ languages; long document/video context,verified_primary_with_date_correction,"Qwen3-VL arXiv technical report and Qwen/HF pages verify 235B-A22B variants, multimodal, long context, OCR expansion.",https://arxiv.org/abs/2511.21631,"Source is late 2025 technical report, not 2026. The notes should not label the primary report as 2026."
22_vision_language_ocr_document_ai,DeepSeek-VL2 MoE with 4.5B active parameters,verified_primary_with_nuance,DeepSeek-VL2 arXiv abstract reports variants with 1.0B/2.8B/4.5B activated parameters; paper body describes language-component active parameters differently.,https://arxiv.org/abs/2412.10302,Use exact wording: model series activated parameters; avoid implying every component has 4.5B active.
22_vision_language_ocr_document_ai,LlamaParse agentic OCR / document parsing with citations/confidence workflows,partially_verified,LlamaParse docs/site verify agentic OCR/document parsing platform and complex docs; exact citation/confidence benchmark claims need more specific source.,https://developers.llamaindex.ai/,Use official docs for feature claims; mark benchmark/industry performance as needs exact source.
23_synthetic_data_dataset_creation,ACL 2026 Tutorial: Synthetic Data in the Era of LLMs,verified_but_year_corrected,"ACL Anthology verifies tutorial title for ACL 2025, not ACL 2026.",https://aclanthology.org/2025.acl-tutorials.7/,Correct year in archive source list from ACL 2026 to ACL 2025.
23_synthetic_data_dataset_creation,30–70% of frontier training data is synthetic,needs_stronger_source,Not directly verified by a primary source in this run.,,Keep as volatile claim / industry-estimate until backed by a named lab report or paper.
24_ai_application_architecture,SystemDesignHandbook AI Application Architecture / 2026 system design guide,partially_verified,SystemDesignHandbook site found with 2026 system design content; exact AI Application Architecture page was not confirmed by title in search result.,https://www.systemdesignhandbook.com/,Use as general system-design source unless exact page is found.
24_ai_application_architecture,RAGAS / ARES evaluation frameworks,partially_verified,Ragas official docs verified; ARES not manually verified in this focused pass.,https://docs.ragas.io/en/stable/,Separate RAGAS and ARES records in future source list.
24_ai_application_architecture,"LangSmith, Phoenix, Helicone production reports",needs_exact_url,Not manually verified in this focused pass.,,Add individual official URLs before treating as verified.
25_hardware_cost_performance_planning,TPU 8i has 384 MB SRAM per chip,verified_secondary,ITPro coverage cites 384MB onboard SRAM per 8i TPU; not found in the opened official Google lines during this pass.,https://www.itpro.com/infrastructure/google-cloud-eighth-generation-tpu-8t-8i-ai-inference-training,Treat as secondary until official spec table is captured.
25_hardware_cost_performance_planning,Electricity is often 30–50% of inference TCO,needs_stronger_source,Not directly verified in this run.,,Keep as volatile planning heuristic until backed by a named cost/TCO report.
