asset_id,title,svg_path,mermaid_path,use_when
01_field_guide_adapter_split,Field Guide vs Knowledge Adapter,16_VISUAL_ASSETS/diagrams/svg/01_field_guide_adapter_split.svg,16_VISUAL_ASSETS/diagrams/mermaid/01_field_guide_adapter_split.mmd,Human teaching layer stays readable; machine memory layer stays retrieval-ready.
02_aiwf_adapter_load_order,AIWF Adapter Load Order,16_VISUAL_ASSETS/diagrams/svg/02_aiwf_adapter_load_order.svg,16_VISUAL_ASSETS/diagrams/mermaid/02_aiwf_adapter_load_order.mmd,Recommended sequence for small models and RAG pipelines.
03_retrieval_routing_matrix,Retrieval Routing Matrix,16_VISUAL_ASSETS/diagrams/svg/03_retrieval_routing_matrix.svg,16_VISUAL_ASSETS/diagrams/mermaid/03_retrieval_routing_matrix.mmd,"How a query should move through lanes, cards, sources, and answer templates."
04_source_verification_gate,Source Verification Gate,16_VISUAL_ASSETS/diagrams/svg/04_source_verification_gate.svg,16_VISUAL_ASSETS/diagrams/mermaid/04_source_verification_gate.mmd,Prevents unsupported claims from escaping the research hatch.
05_brand_voice_role_map,AIWF Brand Voice Role Map,16_VISUAL_ASSETS/diagrams/svg/05_brand_voice_role_map.svg,16_VISUAL_ASSETS/diagrams/mermaid/05_brand_voice_role_map.mmd,"Where humor belongs, where it should not touch the buttons."
06_comfyui_datatype_boundaries,ComfyUI Datatype Boundaries,16_VISUAL_ASSETS/diagrams/svg/06_comfyui_datatype_boundaries.svg,16_VISUAL_ASSETS/diagrams/mermaid/06_comfyui_datatype_boundaries.mmd,"IMAGE, MASK, LATENT, CONDITIONING, and where conversions actually happen."
07_gradio_comfyui_bridge,Gradio → ComfyUI Bridge,16_VISUAL_ASSETS/diagrams/svg/07_gradio_comfyui_bridge.svg,16_VISUAL_ASSETS/diagrams/mermaid/07_gradio_comfyui_bridge.mmd,Turning a ComfyUI workflow into a beginner-facing app surface.
08_lakefs_ai_data_versioning,lakeFS AI Data Versioning Loop,16_VISUAL_ASSETS/diagrams/svg/08_lakefs_ai_data_versioning.svg,16_VISUAL_ASSETS/diagrams/mermaid/08_lakefs_ai_data_versioning.mmd,"Data changes move like code: branch, validate, commit, merge, rollback if gremlins chew the wires."
09_synthetic_data_flywheel,Synthetic Data Flywheel,16_VISUAL_ASSETS/diagrams/svg/09_synthetic_data_flywheel.svg,16_VISUAL_ASSETS/diagrams/mermaid/09_synthetic_data_flywheel.mmd,Failure becomes targeted training material instead of a mysterious crater.
10_evaluation_harness_comparison,Adapter Evaluation Harness,16_VISUAL_ASSETS/diagrams/svg/10_evaluation_harness_comparison.svg,16_VISUAL_ASSETS/diagrams/mermaid/10_evaluation_harness_comparison.mmd,"Proving the adapter helps: not vibes, not fog, actual test cases."
11_hardware_cost_routing,Hardware Cost + Model Routing,16_VISUAL_ASSETS/diagrams/svg/11_hardware_cost_routing.svg,16_VISUAL_ASSETS/diagrams/mermaid/11_hardware_cost_routing.mmd,Route easy work to cheap paths; save the big guns for dragons with paperwork.
torchie_callout_style_sheet,Torchie Callout Style Sheet,16_VISUAL_ASSETS/torchie_callouts/torchie_callout_style_sheet.svg,,Use for visual callout tone and mascot guidance.
