lane_id,missing_kit_files,retrieval_card_count,eval_item_count,profile_exists
01_source_ledger_evidence,,9,20,true
02_rag_architecture_chunking_embedding,,9,20,true
03_comfyui_core_api_subgraph,,9,20,true
04_comfyui_custom_node_ecosystem,,9,20,true
05_pip_runtime_dependency_knowledge,,9,20,true
06_training_data_centric_ml_vol2,,9,20,true
07_cfg_denoise_inpaint_theory,,9,20,true
08_compatibility_matrix_rag,,9,20,true
09_failure_signature_atlas_rag,,9,20,true
10_workflow_pattern_library_rag,,9,20,true
11_gradio_ui_research,,12,20,true
12_llm_fundamentals,,12,5,true
13_agent_tool_use_mcp,,12,5,true
14_evaluation_observability,,12,5,true
15_safety_security_red_team,,12,5,true
16_governance_licensing_ethics,,12,5,true
17_model_serving_deployment,,12,5,true
18_mlops_llmops_release_management,,12,5,true
19_math_for_ai_practitioners,,12,5,true
20_data_engineering_for_ai,,16,20,true
21_audio_speech_music_ai,,16,20,true
22_vision_language_ocr_document_ai,,16,20,true
23_synthetic_data_dataset_creation,,16,20,true
24_ai_application_architecture,,16,20,true
25_hardware_cost_performance_planning,,16,20,true
