pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAAdapterFaceIDBatch,IPAdapter FaceID Batch,ipadapter/faceid,schema_confirmed,active,batch FaceID variant inherited from IPAdapterFaceID with unfold_batch=True,"MODEL, IMAGE face_image",Batch identity reference control.,"IPAdapter model, CLIPVision model; FaceID nodes additionally require InsightFace; models stored under ComfyUI/models/ipadapter and clip_vision/clip as applicable.",guarded_generate_after_local_test,False,True,ipadapter_model_required;clipvision_required;model_patch;batch_shape_sensitive,turn155file0 turn148file0 turn139file0 turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapter,IPAdapter,ipadapter,schema_confirmed,active,required model MODEL; ipadapter IPADAPTER; image IMAGE; weight FLOAT default 1.0 min -1 max 3; start_at/end_at FLOAT 0-1; weight_type standard/prompt-important/style-transfer; optional attn_mask MASK,MODEL,Simple image-reference adapter apply; best default IPAdapter apply node when using Unified Loader.,"IPAdapter model, CLIPVision model; FaceID nodes additionally require InsightFace; models stored under ComfyUI/models/ipadapter and clip_vision/clip as applicable.",safe_to_generate_if_ipadapter_installed,True,True,ipadapter_model_required;clipvision_required;model_patch,turn155file0 turn148file0 turn139file0 turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterAdvanced,IPAdapter Advanced,ipadapter,schema_confirmed,active,"required model, ipadapter, image, weight FLOAT -1..5, weight_type WEIGHT_TYPES, combine_embeds concat/add/subtract/average/norm average, start_at/end_at, embeds_scaling; optional image_negative, attn_mask, clip_vision",MODEL,"Advanced IPAdapter apply with negative reference, mask, optional clip vision, and embedding controls.","IPAdapter model, CLIPVision model; FaceID nodes additionally require InsightFace; models stored under ComfyUI/models/ipadapter and clip_vision/clip as applicable.",safe_to_generate_if_ipadapter_installed,True,True,ipadapter_model_required;clipvision_required;model_patch,turn155file0 turn148file0 turn139file0 turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterBatch,IPAdapter Batch (Adv.),ipadapter,schema_confirmed,active,"same as Advanced but unfold_batch=True; adds encode_batch_size INT 0..4096; optional image_negative, attn_mask, clip_vision",MODEL,Batch-aware IPAdapter application for video/reference batches.,"IPAdapter model, CLIPVision model; FaceID nodes additionally require InsightFace; models stored under ComfyUI/models/ipadapter and clip_vision/clip as applicable.",guarded_generate_after_local_test,False,True,ipadapter_model_required;clipvision_required;model_patch;batch_shape_sensitive,turn155file0 turn148file0 turn139file0 turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterClipVisionEnhancer,IPAdapter ClipVision Enhancer,ipadapter/dev,schema_confirmed,active,"required model, ipadapter, image, weight, weight_type, combine_embeds, start/end, embeds_scaling, enhance_tiles, enhance_ratio; optional image_negative, attn_mask, clip_vision",MODEL,Enhanced/tiled CLIPVision encoding before adapter application.,"IPAdapter model, CLIPVision model; FaceID nodes additionally require InsightFace; models stored under ComfyUI/models/ipadapter and clip_vision/clip as applicable.",rag_only_or_expert_local_test,False,True,dev_node;ipadapter_model_required;clipvision_required;layer_weight_sensitive,turn155file0 turn148file0 turn139file0 turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterClipVisionEnhancerBatch,IPAdapter ClipVision Enhancer Batch,ipadapter/dev,schema_confirmed,active,"batch enhancer variant; adds encode_batch_size and different enhance_ratio default; optional negative image, mask, clip vision",MODEL,Batch enhanced CLIPVision encoding path.,"IPAdapter model, CLIPVision model; FaceID nodes additionally require InsightFace; models stored under ComfyUI/models/ipadapter and clip_vision/clip as applicable.",rag_only_or_expert_local_test,False,True,dev_node;ipadapter_model_required;clipvision_required;layer_weight_sensitive,turn155file0 turn148file0 turn139file0 turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterCombineEmbeds,IPAdapter Combine Embeds,ipadapter/helpers,schema_confirmed,active,embed1; method concat/add/subtract/average/norm average/max/min; optional embed2-5,EMBEDS,combine multiple embeddings,IPAdapter/CLIPVision embeddings,safe_to_generate_if_ipadapter_installed,True,True,ipadapter_model_required;clipvision_required;model_patch,turn135file0;turn136file0;turn139file0;turn140file0,
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterCombineParams,IPAdapter Combine Params,ipadapter/helpers,schema_confirmed,active,params_1 params_2 optional params_3-5,IPADAPTER_PARAMS,combine regional/image prompt params,IPAdapter/CLIPVision embeddings,guarded_generate_after_local_test,no,yes,"clipvision,embedding_schedule,dependency_sensitive",turn135file0;turn136file0;turn139file0;turn140file0,
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterCombineWeights,IPAdapter Combine Weights,ipadapter/helpers,schema_confirmed,active,weights_1; weights_2,"FLOAT,INT",combine weight lists,IPAdapter/CLIPVision embeddings,guarded_generate_after_local_test,no,yes,"clipvision,embedding_schedule,dependency_sensitive",turn135file0;turn136file0;turn139file0;turn140file0,
PASS_02A,13,ComfyUI_IPAdapter_plus,cubiq/ComfyUI_IPAdapter_plus,IPAdapterEmbeds,IPAdapter Embeds,ipadapter/embeds,schema_confirmed,active,"required model, ipadapter, pos_embed EMBEDS, weight, weight_type, start_at/end_at, embeds_scaling; optional neg_embed, attn_mask, clip_vision","MODEL, optional IMAGE face_image",Apply IPAdapter from precomputed embeddings.,"IPAdapter model, CLIPVision model; FaceID nodes additionally require InsightFace; models stored under ComfyUI/models/ipadapter and clip_vision/clip as applicable.",guarded_generate_after_local_test,False,True,ipadapter_model_required;clipvision_required;model_patch;batch_shape_sensitive,turn155file0 turn148file0 turn139file0 turn140file0,Mapping confirmed; exact apply-node schema needs per-class sweep before publishing workflows.
