pass_id,pack_name,repo,source_refs,source_use,notes
PASS_02M,Steerable Motion,banodoco/Steerable-Motion,turn344file0; turn345file0,light coverage / schema sample / retry accounting,"Good animation teaching concept, but it bundles/imports other node code and should not be a default workflow foundation."
PASS_02M,FizzNodes,FizzleDorf/ComfyUI_FizzNodes,turn346file0,light coverage / schema sample / retry accounting,"High value for old animation workflows; teach conceptually, but prefer simpler modern parameter controls in beginner graphs."
PASS_02M,RyanOnTheInside,ryanontheinside/ComfyUI_RyanOnTheInside,turn343file0; turn343file4; turn343file6; turn343file8; turn343file9; turn347file0,light coverage / schema sample / retry accounting,Very high-value advanced pack; deserves a later dense pass if AIWF builds audio-reactive or temporal-mask chapters.
PASS_02M,Jovimetrix,Amorano/Jovimetrix,turn348file0,light coverage / schema sample / retry accounting,Great conceptual/reference pack; not a beginner workflow default because it is broad and loader-driven.
PASS_02M,Deforum Nodes,XmYx/deforum-comfy-nodes,turn343file1; turn349file0,light coverage / schema sample / retry accounting,"Useful for red-node repair and historical animation workflows, not modern default."
PASS_02M,Depthflow Nodes,akatz-ai/ComfyUI-Depthflow-Nodes,turn351file0,light coverage / schema sample / retry accounting,Useful for non-diffusion motion effects; pairs conceptually with depth estimation nodes.
PASS_02M,DepthCrafter Nodes,akatz-ai/ComfyUI-DepthCrafter-Nodes,turn352file0; turn353file0,light coverage / schema sample / retry accounting,Important first-of-type video-depth node; dense pass recommended before any workflow JSON.
PASS_02M,ComfyUI-MotionDiff,Fannovel16/ComfyUI-MotionDiff,turn354file0,light coverage / schema sample / retry accounting,Motion data is valuable conceptually but not a clean AIWF beginner path.
PASS_02M,ComfyUI-MimicMotionWrapper,kijai/ComfyUI-MimicMotionWrapper,turn355file0; turn356file0,light coverage / schema sample / retry accounting,Better-maintained alternate to simpler AIFSH wrapper; dense pass if building pose-animation workflows.
PASS_02M,ComfyUI-MimicMotion,AIFSH/ComfyUI-MimicMotion,turn358file0; turn359file0,light coverage / schema sample / retry accounting,Simpler but more side-effect-heavy than Kijai wrapper; good red-node repair knowledge.
PASS_02M,ComfyUI-AnimateAnyone-Evolved,MrForExample/ComfyUI-AnimateAnyone-Evolved,turn360file0; turn361file0,light coverage / schema sample / retry accounting,Good compatibility target; Wan/MimicMotion/LivePortrait are likely better modern first choices.
PASS_02M,Comfyui-MusePose,TMElyralab/Comfyui-MusePose,turn362file0; turn363file0,light coverage / schema sample / retry accounting,Important alternate pose-animation pack; dense review only if it beats MimicMotion/LivePortrait for a workflow need.
PASS_02M,ComfyUI-MagicAnimate,thecooltechguy/ComfyUI-MagicAnimate,turn364file0; turn365file0,light coverage / schema sample / retry accounting,Good old-workflow coverage; not modern default.
PASS_02M,ComfyUI-ToonCrafter,AIGODLIKE/ComfyUI-ToonCrafter,turn366file0,light coverage / schema sample / retry accounting,Useful comparison path for stylized interpolation; not native modern default.
PASS_02M,ComfyUI-HelloMeme,HelloVision/ComfyUI_HelloMeme,turn367file3,light coverage / schema sample / retry accounting,Covered as repo/source hit only; do not generate workflows until dense pass.
PASS_02M,ComfyUI-Sonic,smthemex/ComfyUI_Sonic,turn368file0; turn369file0,light coverage / schema sample / retry accounting,High-value talking-head pack; dense pass only if AIWF adds audio-driven animation workflows.
PASS_02M,ComfyUI_EchoMimic,smthemex/ComfyUI_EchoMimic,turn367file2,light coverage / schema sample / retry accounting,Covered as source hit only. Keep below Sonic/LivePortrait unless needed for old workflows.
PASS_02M,ComfyUI-LatentSyncWrapper,ShmuelRonen/ComfyUI-LatentSyncWrapper,turn370file0; turn371file0,light coverage / schema sample / retry accounting,Powerful but side-effect-heavy; needs isolated venv/testing before recommending.
PASS_02M,ComfyUI-MuseTalk,chaojie/ComfyUI-MuseTalk,turn373file0; turn374file0,light coverage / schema sample / retry accounting,Repo resolved; Kijai MuseTalk-KJ also exists and may be better for later dense review.
PASS_02M,ComfyUI-Hallo,AIFSH/ComfyUI-Hallo,search_repositories:no_results,light coverage / schema sample / retry accounting,Do not count as covered; retry with alternate owner/fork if user encounters red nodes.
PASS_02M,DeepFuze,SamKhoze/ComfyUI-DeepFuze,turn372file1,light coverage / schema sample / retry accounting,Covered only as source hit; keep warning-only until dense review and safety/licensing check.
PASS_02M,ComfyUI-TeaCache,welltop-cn/ComfyUI-TeaCache,turn372file0; turn372file3,light coverage / schema sample / retry accounting,Important 2026 acceleration concept; dense pass needed before recommending settings.
PASS_02M,ComfyUI-MagCache,Zehong-Ma/ComfyUI-MagCache,turn372file2; turn372file4,light coverage / schema sample / retry accounting,Important acceleration concept; dense pass needed before AIWF suggests it in performance workflows.
