source_id,url,domain,source_family,source_type,trust_tier,linked_package_count,linked_packages,primary_topics,refresh_priority,notes
SRC-0001,http://dlib.net/,dlib.net,other_project_docs,web_reference,supporting_reference,1,dlib,face_detection; v0.9-custom-node-training-web-deps,normal,
SRC-0002,https://ai.google.dev/edge/mediapipe/solutions/setup_python,ai.google.dev,other_project_docs,api_reference,supporting_reference,1,mediapipe,pose_face_hand_tracking; v0.9-custom-node-training-web-deps,normal,
SRC-0003,https://albumentations.ai/docs/1-introduction/installation/,albumentations.ai,other_project_docs,install_documentation,supporting_reference,1,albumentations,training_augmentation; v0.9-custom-node-training-web-deps,high,
SRC-0004,https://alembic.sqlalchemy.org/,alembic.sqlalchemy.org,other_project_docs,web_reference,supporting_reference,1,alembic,database_migration; v0.7-comfyui-runtime-grounding,normal,
SRC-0005,https://anyio.readthedocs.io/,anyio.readthedocs.io,project_documentation,documentation,project_docs_primary_or_near_primary,1,anyio,async_runtime; v0.2-ui-api,normal,
SRC-0006,https://basicsr.readthedocs.io/,basicsr.readthedocs.io,project_documentation,documentation,project_docs_primary_or_near_primary,1,basicsr,restoration_upscale; v0.3-image-restoration-face-segmentation,normal,
SRC-0007,https://bge-model.com/Introduction/installation.html,bge-model.com,other_project_docs,install_documentation,supporting_reference,1,FlagEmbedding,embeddings; v0.9-custom-node-training-web-deps,high,
SRC-0008,https://black.readthedocs.io/en/stable/getting_started.html,black.readthedocs.io,project_documentation,documentation,project_docs_primary_or_near_primary,1,black,lint_format; v0.9-custom-node-training-web-deps,normal,
SRC-0009,https://cibuildwheel.pypa.io/,cibuildwheel.pypa.io,python_packaging_build_docs,web_reference,official_docs_primary,1,cibuildwheel,wheel_ci_builder; v1.1-local-wheelhouse-native-build,normal,
SRC-0010,https://click.palletsprojects.com/,click.palletsprojects.com,other_project_docs,web_reference,supporting_reference,1,click,cli_ui; v0.6-media-video-audio-cli-build,normal,
SRC-0011,https://cmake.org/documentation/,cmake.org,other_project_docs,web_reference,supporting_reference,1,cmake,native_build_tool; v0.6-media-video-audio-cli-build,normal,
SRC-0012,https://cv.gluon.ai/build/examples_action_recognition/decord_loader.html,cv.gluon.ai,other_project_docs,web_reference,supporting_reference,1,decord,media_video_loader; v0.6-media-video-audio-cli-build,normal,
SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs,web_reference,official_docs_primary,19,nvidia-cublas-cu12 | nvidia-cuda-cccl-cu12 | nvidia-cuda-cupti-cu12 | nvidia-cuda-nvcc-cu12 | nvidia-cuda-nvrtc-cu12 | nvidia-cuda-runtime-cu12 | nvidia-cuda-runtime-cu13 | nvidia-cuda-sanitizer-api-cu12 | nvidia-cufft-cu12 | nvidia-curand-cu12 | nvidia-cusolver-cu12 | nvidia-cusparse-cu12 | nvidia-cutlass | nvidia-npp-cu12 | nvidia-nvjitlink-cu12 | nvidia-nvjpeg-cu12 | nvidia-nvml-dev-cu12 | nvidia-nvtx-cu12 | nvidia-pyindex,nvidia_math_lib; nvidia_profiling; nvidia_cuda_runtime; v1.2-deep-cpp-nvidia-cuda-wheel-builds,high,
SRC-0014,https://developer.nvidia.com/cuda/python,developer.nvidia.com,nvidia_cuda_inference_docs,web_reference,official_docs_primary,3,cuda-bindings | cuda-core | cuda-python,nvidia_cuda_python_bindings; nvidia_cuda_python_core; nvidia_cuda_python_api; v1.3-cudnn-backend-frontend-toolkit-depth,high,
SRC-0015,https://developer.nvidia.com/cudnn-downloads,developer.nvidia.com,nvidia_cuda_inference_docs,web_reference,official_docs_primary,1,nvidia-cudnn-cu13,nvidia_cudnn_backend_runtime; v1.3-cudnn-backend-frontend-toolkit-depth,high,
SRC-0016,https://developer.nvidia.com/management-library-nvml,developer.nvidia.com,nvidia_cuda_inference_docs,web_reference,official_docs_primary,1,nvidia-ml-py,nvidia_gpu_telemetry; v1.5-triton-serving-deployment-depth,high,
SRC-0017,https://developer.nvidia.com/tensorrt,developer.nvidia.com,nvidia_cuda_inference_docs,web_reference,official_docs_primary,1,nvidia-modelopt,nvidia_model_optimization; v1.4-tensorrt-onnx-inference-depth,high,
SRC-0018,https://developers.llamaindex.ai/python/framework/,developers.llamaindex.ai,other_project_docs,web_reference,supporting_reference,1,llama-index,rag_framework; v0.5-training-data-config-llm-framework,normal,
SRC-0019,https://developers.llamaindex.ai/python/framework/getting_started/installation/,developers.llamaindex.ai,other_project_docs,install_documentation,supporting_reference,1,llama-index,rag_framework; v0.5-training-data-config-llm-framework,high,
