capability,default_stack,fallback_or_alternative,recommended_workflow_target,priority,confidence,why,source_refs,guardrails
modern_local_video_default,Wan 2.2 5B TI2V native ComfyUI,WanVideoWrapper only for advanced wrapper-only features; AnimateDiff only for SD1.5 legacy/low-VRAM cases,AIWF_MODERN_VIDEO_01_WAN22_5B_NATIVE,P0,high_from_uploaded_report_plus_official_template,"It is core ComfyUI, fewer dependencies, broad hardware reach, and the official template confirms class types and model paths.",turn305file0;turn303file0,Verify ComfyUI version supports Wan 2.2 core nodes; model downloads are large; keep 14B separate from 5B.
modern_local_video_advanced,Wan 2.2 14B T2V + Lightx2v 4-step Lightning LoRAs,Wan 2.2 5B native for lower VRAM; GGUF/community quantization for constrained systems after testing,AIWF_MODERN_VIDEO_02_WAN22_14B_LIGHTNING,P1,medium_high_from_uploaded_report_plus_official_template,"Report and official 14B template point to high/low-noise experts, Lightning LoRAs, and large performance delta.",turn305file0;turn304file0,24 GB-class workflow; do not present as beginner default; exact subgraph internals should be inspected before generating JSON.
sd15_legacy_animation,AnimateDiff Evolved Gen2 with mm_sd_v15_v2.ckpt and context options,Wan 2.2 native for modern/default video,AIWF_LEGACY_VIDEO_01_ANIMATEDIFF_SD15,P2,medium_from_uploaded_report_plus_existing_pass02D_mapping,"Useful for SD1.5 LoRA/checkpoint libraries and lower-VRAM animation, but no longer default modern video.",turn305file0;existing_pass02D,Frame explicitly as legacy; avoid HotshotXL as default; use Advanced-ControlNet only when needed.
modern_inpainting_default,CropAndStitch + core InpaintModelConditioning + Acly Fooocus inpaint nodes,Core SDXL inpaint/outpaint for foundation tier; DifferentialDiffusion + blurred mask for seams,AIWF_MODERN_INPAINT_01_CROP_STITCH_FOOOCUS,P0,high_from_uploaded_report_plus_prior_schema,"Combines masked-only crop efficiency, better inpaint head, and clean stitch-back path.",turn305file0;prior_pass02C;prior_pass02A,Fooocus inpaint patch is non-distilled SDXL only; do not use Turbo/Lightning/Hyper merges for Fooocus patch workflows.
automatic_masking_for_inpaint,Kijai SAM2 + PointsEditor/KJNodes + InpaintCrop,CLIPSeg for text masks; Impact detector/SAM/SEGS when using Impact detailers,AIWF_MODERN_INPAINT_02_SAM2_AUTOMASK,P1,high_from_uploaded_report_plus_prior_schema,Bridges interactive/autogenerated masks directly into modern inpainting workflows.,turn305file0;prior_pass02C;prior_pass02I,Model files and UI point-selection behavior need local testing; avoid overclaiming fully automatic perfection.
face_quality_default,Impact Pack FaceDetailer + Impact Subpack UltralyticsDetectorProvider,ReActor only with consent/licensing warnings; InstantID/PuLID/InfiniteYou for identity conditioning rather than literal swaps,AIWF_FACE_01_FACEDETAILER_DEFAULT,P0,high_from_uploaded_report_plus_prior_schema,Improves generated faces without face-swapping; lower ethical/license risk than ReActor.,turn305file0;prior_pass01J;prior_pass02C,Requires face_yolov8m and SAM model; treat video/batch face detailing separately.
identity_control,IPAdapter for SD1.5/SDXL style/identity; InstantID/PuLID/InfiniteYou/HyperLoRA as advanced identity/adaptation systems,Native reference conditioning for Wan/Flux where available,AIWF_IDENTITY_01_IPADAPTER_SDXL; AIWF_IDENTITY_02_INSTANTID_OR_PULID,P1,medium_high_from_uploaded_report_plus_prior_schema,IPAdapter remains de facto for SDXL/SD1.5; newer identity systems need clearer local tests and licensing notes.,turn305file0;prior_pass02B;prior_pass02I,InsightFace model licensing can be non-commercial-research-only; avoid defaulting to ReActor in beginner material.
upscale_default_modern,UltimateSDUpscale,Stock ImageUpscaleWithModel for deterministic upscale; SUPIR/CCSR/APISR/InvSR as advanced comparisons,AIWF_UPSCALE_01_ULTIMATE_SDUPSCALE_COMPARE,P0,high_from_uploaded_report_plus_prior_schema,Best default for tiled denoised re-rendering; simple enough for a modern-tier workflow.,turn305file0;prior_pass02D;prior_pass02H,Use conservative denoise/tile settings; distinguish deterministic pixel upscale from generative upscale.
advanced_restoration,SUPIR and CCSR as optional/restoration comparison paths,UltimateSDUpscale when user wants simpler tiled upscale,AIWF_UPSCALE_02_SUPIR_CCSR_COMPARE,P2,medium_from_uploaded_report_plus_prior_schema,High quality but model/license/maintenance/VRAM sensitive.,turn305file0;prior_pass02D;prior_pass02H,SUPIR weights may be non-commercial; CCSR has strong tile/seed/timing controls; both need local testing.
modern_essentials_install_set,"Manager, rgthree, Custom-Scripts, KJNodes, Impact Pack/Subpack, VHS, controlnet_aux, GGUF","ComfyUI_essentials and WAS revised as compatibility/legacy packs, not new-workflow foundations",AIWF_INSTALL_PROFILE_MODERN_TIER,P0,medium_high_from_uploaded_report_plus_prior_coverage,Matches both our RAG coverage and the field report’s install-priority logic.,turn305file0;prior_pass01;prior_pass02,Pin commits for guide workflows; mark custom nodes as moving targets.
