source_id,title,url,publisher,verified_status,use_for,notes,lane
COMFY-DOC-001,ComfyUI Custom Nodes - Properties,https://docs.comfy.org/custom-nodes/backend/server_overview,ComfyUI Official Documentation,official_docs_verified,"INPUT_TYPES, RETURN_TYPES, FUNCTION, OUTPUT_NODE, IS_CHANGED.","INPUT_TYPES, RETURN_TYPES, FUNCTION, OUTPUT_NODE, IS_CHANGED.",comfyui_advanced_pass01_official_docs
COMFY-DOC-002,"ComfyUI Images, Latents, and Masks",https://docs.comfy.org/custom-nodes/backend/images_and_masks,ComfyUI Official Documentation,official_docs_verified,"IMAGE [B,H,W,C], MASK [B,H,W], LATENT dict with samples [B,C,H,W].","IMAGE [B,H,W,C], MASK [B,H,W], LATENT dict with samples [B,C,H,W].",comfyui_advanced_pass01_official_docs
COMFY-DOC-003,ComfyUI Datatypes,https://docs.comfy.org/custom-nodes/backend/datatypes,ComfyUI Official Documentation,official_docs_verified,Client-side strong typing and built-in datatypes.,Client-side strong typing and built-in datatypes.,comfyui_advanced_pass01_official_docs
COMFY-DOC-004,ComfyUI Hidden and Flexible Inputs,https://docs.comfy.org/custom-nodes/backend/more_on_inputs,ComfyUI Official Documentation,official_docs_verified,"Hidden inputs, custom datatypes, wildcard inputs, forceInput.","Hidden inputs, custom datatypes, wildcard inputs, forceInput.",comfyui_advanced_pass01_official_docs
COMFY-DOC-005,ComfyUI V3 Migration,https://docs.comfy.org/custom-nodes/v3_migration,ComfyUI Official Documentation,official_docs_verified,"V3 schema, custom types, MultiType, MatchType.","V3 schema, custom types, MultiType, MatchType.",comfyui_advanced_pass01_official_docs
COMFY-DOC-006,ComfyUI Lazy Evaluation,https://docs.comfy.org/custom-nodes/backend/lazy_evaluation,ComfyUI Official Documentation,official_docs_verified,"lazy inputs, check_lazy_status, ExecutionBlocker.","lazy inputs, check_lazy_status, ExecutionBlocker.",comfyui_advanced_pass01_official_docs
COMFY-DOC-007,ComfyUI Javascript Extensions,https://docs.comfy.org/custom-nodes/js/javascript_overview,ComfyUI Official Documentation,official_docs_verified,"WEB_DIRECTORY, js loading, app.registerExtension.","WEB_DIRECTORY, js loading, app.registerExtension.",comfyui_advanced_pass01_official_docs
COMFY-DOC-008,ComfyUI Javascript Hooks,https://docs.comfy.org/custom-nodes/js/javascript_hooks,ComfyUI Official Documentation,official_docs_verified,Extension hooks invoked by Comfy app lifecycle.,Extension hooks invoked by Comfy app lifecycle.,comfyui_advanced_pass01_official_docs
COMFY-DOC-009,ComfyUI UI Subgraphs,https://docs.comfy.org/custom-nodes/js/subgraphs,ComfyUI Official Documentation,official_docs_verified,"Subgraph node identifiers, graph traversal, active/root graph distinctions.","Subgraph node identifiers, graph traversal, active/root graph distinctions.",comfyui_advanced_pass01_official_docs
COMFY-DOC-010,ComfyUI Subgraph Blueprints,https://docs.comfy.org/custom-nodes/subgraph_blueprints,ComfyUI Official Documentation,official_docs_verified,"subgraphs folder, JSON files, global_subgraphs endpoint.","subgraphs folder, JSON files, global_subgraphs endpoint.",comfyui_advanced_pass01_official_docs
COMFY-DOC-011,ComfyUI Cloud/API Overview,https://docs.comfy.org/development/cloud/overview,ComfyUI Official Documentation,official_docs_verified,"Workflows are API-format JSON with node IDs as keys, class_type, inputs; async jobs.","Workflows are API-format JSON with node IDs as keys, class_type, inputs; async jobs.",comfyui_advanced_pass01_official_docs
COMFY-DOC-012,ComfyUI Node Definition JSON,https://docs.comfy.org/specs/nodedef_json,ComfyUI Official Documentation,official_docs_verified,"Node definition JSON schema, inputs metadata: forceInput, lazy, tooltip, advanced.","Node definition JSON schema, inputs metadata: forceInput, lazy, tooltip, advanced.",comfyui_advanced_pass01_official_docs
COMFY-DOC-013,ComfyUI Troubleshooting Custom Node Issues,https://docs.comfy.org/troubleshooting/custom-node-issues,ComfyUI Official Documentation,official_docs_verified,"Disable all custom nodes, binary-search custom node/frontend extension conflicts, dependency conflict patterns.","Disable all custom nodes, binary-search custom node/frontend extension conflicts, dependency conflict patterns.",comfyui_advanced_pass01_official_docs
COMFY-DOC-014,ComfyUI General Troubleshooting,https://docs.comfy.org/troubleshooting/overview,ComfyUI Official Documentation,official_docs_verified,"Default workflow, disable custom nodes, console errors, comfy node update all, reporting routes.","Default workflow, disable custom nodes, console errors, comfy node update all, reporting routes.",comfyui_advanced_pass01_official_docs
COMFY-DOC-015,ComfyUI Workflow Templates,https://docs.comfy.org/custom-nodes/workflow_templates,ComfyUI Official Documentation,official_docs_verified,example_workflows folder and optional thumbnail images for node developers.,example_workflows folder and optional thumbnail images for node developers.,comfyui_advanced_pass01_official_docs
COMFY-PASS02-DOC-001,ComfyUI backend datatypes,https://docs.comfy.org/custom-nodes/backend/datatypes,ComfyUI Official Documentation,official_docs_verified,"Comfy datatypes act like strong typing on the client; IMAGE, LATENT, MASK, AUDIO, MODEL, CLIP, VAE, CONDITIONING and sampling datatypes are documented here.",,comfyui_advanced_pass02_datatype_boundaries
COMFY-PASS02-DOC-002,"ComfyUI Images, Latents, and Masks",https://docs.comfy.org/custom-nodes/backend/images_and_masks,ComfyUI Official Documentation,official_docs_verified,"IMAGE is a torch tensor [B,H,W,C]; MASK is [B,H,W]; LATENT is a dict containing samples [B,C,H,W].",,comfyui_advanced_pass02_datatype_boundaries
COMFY-PASS02-DOC-003,ComfyUI custom node properties,https://docs.comfy.org/custom-nodes/backend/server_overview,ComfyUI Official Documentation,official_docs_verified,"Custom nodes use INPUT_TYPES, RETURN_TYPES, RETURN_NAMES, CATEGORY, FUNCTION, and functions must return tuples corresponding to RETURN_TYPES.",,comfyui_advanced_pass02_datatype_boundaries
COMFY-PASS02-DOC-004,ComfyUI hidden and flexible inputs,https://docs.comfy.org/custom-nodes/backend/more_on_inputs,ComfyUI Official Documentation,official_docs_verified,"Hidden inputs can request UNIQUE_ID, PROMPT, and EXTRA_PNGINFO; flexible/custom input patterns should be treated carefully.",,comfyui_advanced_pass02_datatype_boundaries
COMFY-PASS02-DOC-005,ComfyUI lazy evaluation,https://docs.comfy.org/custom-nodes/backend/lazy_evaluation,ComfyUI Official Documentation,official_docs_verified,Lazy inputs and check_lazy_status support conditional/router patterns without evaluating unused branches.,,comfyui_advanced_pass02_datatype_boundaries
COMFY-PASS02-DOC-006,ComfyUI V3 migration and MultiType inputs,https://docs.comfy.org/custom-nodes/v3_migration,ComfyUI Official Documentation,official_docs_verified,"V3 schema supports custom types, MultiType inputs, MatchType, dynamic inputs, and schema-based node definitions.",,comfyui_advanced_pass02_datatype_boundaries
COMFY-PASS03-DOC-001,ComfyUI Server Routes official documentation,https://docs.comfy.org/development/comfyui-server/comms_routes,ComfyUI Official Documentation,official_docs_verified,"Local server route list; /prompt validation and queue behavior; /history, /queue, /view, /upload/image, /system_stats, /object_info.","The routes page states that the web client submits to /prompt, which validates the prompt, queues it, and returns prompt_id/number or errors.",comfyui_advanced_pass03_workflow_api_automation_gradio_bridge
COMFY-PASS03-DOC-002,ComfyUI Workflow JSON schema official specification,https://docs.comfy.org/specs/workflow_json,ComfyUI Official Documentation,official_docs_verified,Distinguishing UI workflow JSON schema from API prompt format and preserving workflow graph semantics.,"The official spec defines workflow JSON using JSON Schema; this is the UI workflow serialization family, not the only API payload form.",comfyui_advanced_pass03_workflow_api_automation_gradio_bridge
