source_id,label,url,domain,source_type,topic_family,priority,volatility,capture_status,mentioned_in_file_count,used_in_files,first_context
SRC-0001,Data Statements for NLP,https://aclanthology.org/Q18-1041/,aclanthology.org,paper_or_technical_report,data_quality_provenance,A_primary_anchor,low,captured_from_archive,3,01_research_cards/034_dataset_design_quality_laws.md | 01_research_cards/035_model_cards_dataset_cards_provenance.md | 06_sources/source_log_pass_03.md,- Data Statements for NLP: https://aclanthology.org/Q18-1041/
SRC-0002,NIST AI RMF resource center,https://airc.nist.gov/airmf-resources/airmf/,airc.nist.gov,law_policy_or_governance,law_governance_rights,A_primary_anchor,low,captured_from_archive,2,06_sources/source_log_pass_03.md | 07_theory_law_rules/SYNTHETIC_MEDIA_CONSENT_DISCLOSURE_PROVENANCE.md,- NIST AI RMF resource center: https://airc.nist.gov/airmf-resources/airmf/
SRC-0003,Adam paper,https://arxiv.org/abs/1412.6980,arxiv.org,paper_or_technical_report,optimization_training_dynamics,A_primary_anchor,low,captured_from_archive,5,01_research_cards/182_optimization_is_navigation_not_magic.md | 01_research_cards/184_momentum_and_nesterov_momentum.md | 01_research_cards/185_adam_adamw_and_adaptive_optimizers.md | 01_research_cards/208_modern_optimizer_watchlist_lion_sophia_muon_schedulefree_soaplike_families.md | 06_sources/PASS_14_SOURCE_ANCHORS.md,- Adam paper: https://arxiv.org/abs/1412.6980
SRC-0004,Batch Normalization,https://arxiv.org/abs/1502.03167,arxiv.org,paper_or_technical_report,optimization_training_dynamics,A_primary_anchor,low,captured_from_archive,3,01_research_cards/195_normalization_batchnorm_layernorm_rmsnorm_and_new_variants.md | 01_research_cards/202_vanishing_and_exploding_gradients.md | 06_sources/PASS_14_SOURCE_ANCHORS.md,- Batch Normalization: https://arxiv.org/abs/1502.03167
SRC-0005,Layer Normalization,https://arxiv.org/abs/1607.06450,arxiv.org,paper_or_technical_report,optimization_training_dynamics,A_primary_anchor,low,captured_from_archive,3,01_research_cards/195_normalization_batchnorm_layernorm_rmsnorm_and_new_variants.md | 01_research_cards/196_residual_connections_and_gradient_highways.md | 06_sources/PASS_14_SOURCE_ANCHORS.md,- Layer Normalization: https://arxiv.org/abs/1607.06450
SRC-0006,AdamW paper,https://arxiv.org/abs/1711.05101,arxiv.org,paper_or_technical_report,optimization_training_dynamics,A_primary_anchor,low,captured_from_archive,10,01_research_cards/066_optimizers_schedulers_consumer_training.md | 01_research_cards/182_optimization_is_navigation_not_magic.md | 01_research_cards/185_adam_adamw_and_adaptive_optimizers.md | 01_research_cards/187_warmup_cosine_constant_and_scheduler_choice.md | 01_research_cards/188_weight_decay_l2_and_regularization_in_deep_nets.md | 01_research_cards/199_lora_optimization_dynamics.md | 01_research_cards/201_underfit_overfit_memorization_and_collapse.md | 01_research_cards/208_modern_optimizer_watchlist_lion_sophia_muon_schedulefree_soaplike_families.md | 06_sources/PASS_14_SOURCE_ANCHORS.md | 06_sources/source_log_pass_06.md,- AdamW paper: https://arxiv.org/abs/1711.05101
SRC-0007,Datasheets for Datasets,https://arxiv.org/abs/1803.09010,arxiv.org,paper_or_technical_report,data_quality_provenance,A_primary_anchor,low,captured_from_archive,4,01_research_cards/034_dataset_design_quality_laws.md | 01_research_cards/035_model_cards_dataset_cards_provenance.md | 01_research_cards/072_evaluation_gates_release_checklist.md | 06_sources/source_log_pass_03.md,- Datasheets for Datasets: https://arxiv.org/abs/1803.09010
SRC-0008,BatchNorm optimization explanation,https://arxiv.org/abs/1805.11604,arxiv.org,paper_or_technical_report,general_reference,A_primary_anchor,low,captured_from_archive,2,01_research_cards/195_normalization_batchnorm_layernorm_rmsnorm_and_new_variants.md | 06_sources/PASS_14_SOURCE_ANCHORS.md,- BatchNorm optimization explanation: https://arxiv.org/abs/1805.11604
SRC-0009,Model Cards,https://arxiv.org/abs/1810.03993,arxiv.org,paper_or_technical_report,data_quality_provenance,A_primary_anchor,low,captured_from_archive,5,01_research_cards/034_dataset_design_quality_laws.md | 01_research_cards/035_model_cards_dataset_cards_provenance.md | 01_research_cards/072_evaluation_gates_release_checklist.md | 01_research_cards/081_deployment_formats_and_adapter_release.md | 06_sources/source_log_pass_03.md,- Model Cards: https://arxiv.org/abs/1810.03993
SRC-0010,Reconciling modern machine-learning practice and classical bias/variance trade-off / double descent,https://arxiv.org/abs/1812.11118,arxiv.org,paper_or_technical_report,ml_theory_foundations,A_primary_anchor,low,captured_from_archive,1,06_sources/source_log_pass_10.md,- Reconciling modern machine-learning practice and classical bias/variance trade-off / double descent: https://arxiv.org/abs/1812.11118
SRC-0011,DistilBERT paper,https://arxiv.org/abs/1910.01108,arxiv.org,paper_or_technical_report,general_reference,A_primary_anchor,low,captured_from_archive,2,01_research_cards/076_distillation_teacher_student_synthetic_data.md | 06_sources/source_log_pass_07.md,- DistilBERT paper: https://arxiv.org/abs/1910.01108
SRC-0012,Deep Double Descent — arXiv,https://arxiv.org/abs/1912.02292,arxiv.org,paper_or_technical_report,ml_theory_foundations,A_primary_anchor,low,captured_from_archive,1,06_sources/source_log_pass_12_statistical_learning.md,- Deep Double Descent — arXiv: https://arxiv.org/abs/1912.02292
SRC-0013,Scaling Laws for Neural Language Models,https://arxiv.org/abs/2001.08361,arxiv.org,paper_or_technical_report,ml_theory_foundations,A_primary_anchor,low,captured_from_archive,4,01_research_cards/067_curriculum_data_mixing_replay.md | 06_sources/source_log_pass_06.md | 06_sources/source_log_pass_10.md | 06_sources/source_log_pass_12_statistical_learning.md,- Scaling Laws for Neural Language Models: https://arxiv.org/abs/2001.08361
SRC-0014,BEIR paper,https://arxiv.org/abs/2104.08663,arxiv.org,paper_or_technical_report,rag_embeddings_retrieval,A_primary_anchor,low,captured_from_archive,2,01_research_cards/068_retriever_training_rag_finetuning.md | 06_sources/source_log_pass_06.md,- BEIR paper: https://arxiv.org/abs/2104.08663
SRC-0015,LoRA paper,https://arxiv.org/abs/2106.09685,arxiv.org,paper_or_technical_report,peft_adapters_quantization,A_primary_anchor,low,captured_from_chat_and_archive,6,01_research_cards/029_consumer_hardware_vram_math.md | 01_research_cards/030_peft_methods_lora_qlora_dora_ia3_prefix.md | 01_research_cards/062_adapter_method_decision_tree.md | 06_sources/source_log_pass_03.md | 06_sources/source_log_pass_06.md | CHAT_VISIBLE_SUMMARY,- LoRA paper: https://arxiv.org/abs/2106.09685
