asset_type,comfy_key,default_location,role,typical_loader,common_failure
checkpoint,checkpoints,ComfyUI/models/checkpoints,Single-file base model checkpoint; SD1.5/SDXL classic .safetensors/.ckpt,CheckpointLoaderSimple / UNET+CLIP+VAE loaders depending model family,"wrong architecture, wrong base family, missing VAE/text encoder, unsafe pickle ckpt"
diffusers_folder,diffusers,"external folder, not always inside ComfyUI/models",Multi-folder Hugging Face Diffusers layout with model_index.json and component subfolders,"Diffusers code, custom nodes, conversion tools","missing model_index.json, subfolder mismatch, offline config missing"
diffusion_model_unet_dit,diffusion_models or unet,ComfyUI/models/diffusion_models and legacy ComfyUI/models/unet,"Separated denoiser weights: UNet, DiT, Flux transformer, Wan/LTX style diffusion weights",UNETLoader / model-specific loaders,loader expects checkpoint but receives bare denoiser; paired encoders/VAE missing
text_encoder,text_encoders or clip,ComfyUI/models/text_encoders; legacy ComfyUI/models/clip,CLIP/T5/UMT5/Gemma/Qwen text encoders used by modern diffusion models,CLIPLoader / DualCLIPLoader / TripleCLIPLoader / model-specific text encoder loaders,"wrong encoder family, missing tokenizer assets in Diffusers workflows, dtype mismatch"
clip_vision,clip_vision,ComfyUI/models/clip_vision,"Vision encoder used by IP-Adapter, style reference, image prompt adapters",CLIPVisionLoader / IPAdapter loaders,IPAdapter model present but vision encoder missing
vae,vae,ComfyUI/models/vae,Latent/image encoder-decoder; model-family specific and not interchangeable across all architectures,VAELoader / checkpoint loader embedded VAE,"washed colors, black images, shape mismatch, wrong latent channels"
lora,loras,ComfyUI/models/loras,Low-rank adapter weights; must match base model family and target modules,LoraLoader / LoRA stackers,"loads but has no effect, wrong trigger words, wrong SDXL vs SD1.5 vs Flux target"
controlnet,controlnet,ComfyUI/models/controlnet,Conditional control model; must match base model family and preprocessor output,ControlNetLoader / Apply ControlNet,"wrong preprocessor, wrong base, no visible control effect"
ipadapter,ipadapter,ComfyUI/models/ipadapter,Image prompt adapter weights; usually paired with CLIP Vision and model-family-specific weights,IPAdapter custom node loaders,"missing clip_vision, wrong SDXL/SD1.5/Flux adapter, face ID model mismatch"
upscale_model,upscale_models,ComfyUI/models/upscale_models,ESRGAN/RealESRGAN/SwinIR/SUPIR-adjacent upscalers,UpscaleModelLoader / image upscaler nodes,"model loads but over-smooths, wrong scale factor, architecture mismatch"
embedding,embeddings,ComfyUI/models/embeddings,Textual inversion embeddings; base model family/tokenizer dependent,Embedding prompt token usage,"token ignored, wrong tokenizer family, SDXL dual encoder mismatch"
vae_approx,vae_approx,ComfyUI/models/vae_approx,Preview/approximate VAE weights for fast latent preview,"preview system, not final decode",preview wrong but final output okay; support system should distinguish
style_model,style_models,ComfyUI/models/style_models,Style adapter/model weights for style-conditioning nodes,style model loaders/custom nodes,node-specific path expectation
gligen,gligen,ComfyUI/models/gligen,Grounded layout/generation weights for GLIGEN workflows,GLIGEN loader nodes,rare/custom workflow support
sams,sams,ComfyUI/models/sams,SAM/SAM2 segmentation weights for mask/segmentation nodes,SAM/SAM2 loaders/custom nodes,mask tools fail despite generation stack working
ultralytics,ultralytics,ComfyUI/models/ultralytics,YOLO/Ultralytics detection models for automation/masking,Ultralytics/detection custom nodes,downloaded to wrong nested folder; task model not found
animatediff,animatediff_models,ComfyUI/models/animatediff_models,AnimateDiff motion modules for SD video workflows,AnimateDiff loaders/custom nodes,motion module version/base mismatch
audio_encoder,audio_encoders,ComfyUI/models/audio_encoders,Audio encoders for audio/video generation stacks,audio/video model loaders,missing when video/audio nodes fail
