file,line,claim_excerpt,reason,suggested_status
01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/SOURCE_COVERAGE.md,19,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/lane_profile.json,25,"""conflict_rule"": ""Prefer canonical lane files over raw source payloads unless the user asks for provenance/history. For volatile claims, verify online before presenting as current.""",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/vol1_lane_manifest.json,6,"""created_day"": ""2026-05-19"",",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/SOURCE_COVERAGE.md,19,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/lane_profile.json,25,"""conflict_rule"": ""Prefer canonical lane files over raw source payloads unless the user asks for provenance/history. For volatile claims, verify online before presenting as current.""",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/vol1_lane_manifest.json,6,"""created_day"": ""2026-05-19"",",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/SOURCE_COVERAGE.md,18,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/lane_profile.json,25,"""conflict_rule"": ""Prefer canonical lane files over raw source payloads unless the user asks for provenance/history. For volatile claims, verify online before presenting as current.""",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/vol1_lane_manifest.json,6,"""created_day"": ""2026-05-19"",",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/SOURCE_COVERAGE.md,18,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/lane_profile.json,25,"""conflict_rule"": ""Prefer canonical lane files over raw source payloads unless the user asks for provenance/history. For volatile claims, verify online before presenting as current.""",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/vol1_lane_manifest.json,6,"""created_day"": ""2026-05-19"",",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/SOURCE_COVERAGE.md,18,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/lane_profile.json,25,"""conflict_rule"": ""Prefer canonical lane files over raw source payloads unless the user asks for provenance/history. For volatile claims, verify online before presenting as current.""",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/vol1_lane_manifest.json,6,"""created_day"": ""2026-05-19"",",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2/SOURCE_COVERAGE.md,17,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2/lane_profile.json,25,"""conflict_rule"": ""Prefer canonical lane files over raw source payloads unless the user asks for provenance/history. For volatile claims, verify online before presenting as current.""",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2/vol1_lane_manifest.json,6,"""created_day"": ""2026-05-19"",",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/CANONICAL_OVERVIEW.md,5,"Editing controls are best taught as staged intervention strength: preserve structure first, then repair content, then finish detail.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/README_VOL1.md,9,"Editing controls are best taught as staged intervention strength: preserve structure first, then repair content, then finish detail.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/SOURCE_COVERAGE.md,18,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/VOL1_SCOPE.md,5,"Editing controls are best taught as staged intervention strength: preserve structure first, then repair content, then finish detail.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/lane_profile.json,25,"""conflict_rule"": ""Prefer canonical lane files over raw source payloads unless the user asks for provenance/history. For volatile claims, verify online before presenting as current.""",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory/vol1_lane_manifest.json,6,"""created_day"": ""2026-05-19"",",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_atlas/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_atlas/SOURCE_COVERAGE.md,19,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_atlas/lane_profile.json,25,"""conflict_rule"": ""Prefer canonical lane files over raw source payloads unless the user asks for provenance/history. For volatile claims, verify online before presenting as current.""",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_atlas/vol1_lane_manifest.json,6,"""created_day"": ""2026-05-19"",",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas/EMBEDDING_AND_CHUNKING_STRATEGY.md,27,- old version labels as current truth;,contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas/SOURCE_COVERAGE.md,19,"- Treat old source version labels as provenance, not as the current Vol. 1 lane status.",contains temporal/superlative/numeric cue,requires_source_or_periodic_reverification
