package_id,pip_name,doc_file,doc_quality,category,priority,windows_risk
PIP-0001,torch,packages/torch.md,full_card,core_ml_runtime,critical,very_high
PIP-0002,torchvision,packages/torchvision.md,full_card,core_ml_runtime,critical,high
PIP-0003,torchaudio,packages/torchaudio.md,full_card,core_ml_runtime,medium,medium
PIP-0004,xformers,packages/xformers.md,full_card,attention_backend,critical,very_high
PIP-0005,triton,packages/triton.md,full_card,kernel_backend,medium,very_high
PIP-0006,diffusers,packages/diffusers.md,full_card,model_pipeline,critical,medium
PIP-0007,transformers,packages/transformers.md,full_card,model_pipeline,critical,medium
PIP-0008,accelerate,packages/accelerate.md,full_card,model_pipeline,high,medium
PIP-0009,safetensors,packages/safetensors.md,full_card,model_io,critical,low
PIP-0010,huggingface_hub,packages/huggingface_hub.md,full_card,model_io,critical,low
PIP-0011,datasets,packages/datasets.md,full_card,data_loading,high,medium
PIP-0012,bitsandbytes,packages/bitsandbytes.md,full_card,quantization_training,high,very_high
PIP-0013,lion-pytorch,packages/lion-pytorch.md,full_card,training_optimizer,low,low
PIP-0014,omegaconf,packages/omegaconf.md,full_card,config,medium,low
PIP-0015,gradio,packages/gradio.md,full_card,ui_webapp,critical,medium
PIP-0016,fastapi,packages/fastapi.md,full_card,ui_backend_api,high,medium
PIP-0017,anyio,packages/anyio.md,full_card,async_runtime,medium,low
PIP-0018,pandas,packages/pandas.md,full_card,data_processing,medium,medium
PIP-0019,regex,packages/regex.md,full_card,text_processing,low,low
PIP-0020,ipywidgets,packages/ipywidgets.md,full_card,notebook_ui,low,low
PIP-0021,scipy,packages/scipy.md,full_card,numeric,medium,medium
PIP-0022,ftfy,packages/ftfy.md,full_card,text_processing,low,low
PIP-0023,Pillow,packages/pillow.md,full_card,image_io,critical,low
PIP-0024,controlnet-aux,packages/controlnet-aux.md,full_card,controlnet_preprocessor,high,medium
PIP-0025,psutil,packages/psutil.md,full_card,diagnostics,critical,low
PIP-0026,open-webui,packages/open-webui.md,full_card,llm_ui,medium,high
PIP-0027,gfpgan,packages/gfpgan.md,full_card,face_restore,high,high
PIP-0028,dlib,packages/dlib.md,full_card,face_detection,medium,very_high
PIP-0029,cmake,packages/cmake.md,full_card,native_build_tool,medium,medium
PIP-0030,k-diffusion,packages/k-diffusion.md,full_card,sampler_backend,high,medium
PIP-0031,numpy,packages/numpy.md,full_card,numeric,critical,medium
PIP-0032,opencv-python,packages/opencv-python.md,full_card,image_video_io,critical,medium
PIP-0033,opencv-python-headless,packages/opencv-python-headless.md,full_card,image_video_io,medium,medium
PIP-0034,tqdm,packages/tqdm.md,full_card,cli_progress,medium,low
PIP-0035,requests,packages/requests.md,full_card,http,medium,low
PIP-0036,PyYAML,packages/pyyaml.md,full_card,config,medium,low
PIP-0037,einops,packages/einops.md,full_card,tensor_ops,high,low
PIP-0038,kornia,packages/kornia.md,full_card,vision_tensor_ops,medium,medium
PIP-0039,spandrel,packages/spandrel.md,full_card,upscale_model_architecture,high,medium
PIP-0040,timm,packages/timm.md,full_card,vision_models,medium,medium
PIP-0041,tokenizers,packages/tokenizers.md,full_card,text_tokenization,medium,medium
PIP-0042,sentencepiece,packages/sentencepiece.md,full_card,text_tokenization,medium,medium
PIP-0043,protobuf,packages/protobuf.md,full_card,serialization,medium,medium
PIP-0044,pydantic,packages/pydantic.md,full_card,validation_config,medium,medium
PIP-0045,starlette,packages/starlette.md,full_card,ui_backend_api,medium,medium
PIP-0046,uvicorn,packages/uvicorn.md,full_card,ui_backend_api,medium,low
PIP-0047,basicsr,packages/basicsr.md,full_card,restoration_upscale,high,high
PIP-0048,realesrgan,packages/realesrgan.md,full_card,restoration_upscale,high,high
PIP-0049,facexlib,packages/facexlib.md,full_card,face_restore,high,medium
PIP-0050,insightface,packages/insightface.md,full_card,face_swap_identity,critical,very_high
PIP-0051,onnxruntime,packages/onnxruntime.md,full_card,inference_runtime,high,medium
PIP-0052,onnxruntime-gpu,packages/onnxruntime-gpu.md,full_card,inference_runtime,medium,very_high
PIP-0053,onnx,packages/onnx.md,full_card,model_format,medium,medium
PIP-0054,ultralytics,packages/ultralytics.md,full_card,detection_segmentation,high,medium
PIP-0055,segment-anything,packages/segment-anything.md,full_card,segmentation,high,medium
PIP-0056,SAM-2 / editable sam2 repo,packages/sam2.md,full_card,segmentation,high,high
PIP-0057,groundingdino,packages/groundingdino.md,full_card,detection_segmentation,high,very_high
PIP-0058,rembg,packages/rembg.md,full_card,background_segmentation,low,medium
PIP-0059,transparent-background,packages/transparent-background.md,full_card,background_segmentation,low,medium
PIP-0060,scikit-image,packages/scikit-image.md,full_card,image_processing,medium,medium
PIP-0061,imageio,packages/imageio.md,full_card,media_image_video_io,medium,low
PIP-0062,imageio-ffmpeg,packages/imageio-ffmpeg.md,full_card,media_video_io,medium,low
PIP-0063,ffmpeg-python,packages/ffmpeg-python.md,full_card,media_ffmpeg_graph,medium,medium
PIP-0064,av,packages/av.md,full_card,media_video_io,medium,medium
PIP-0065,decord,packages/decord.md,full_card,media_video_loader,medium,high
PIP-0066,chromadb,packages/chromadb.md,full_card,rag_vector_db,high,medium
PIP-0067,lancedb,packages/lancedb.md,full_card,rag_vector_db,high,medium
