lane_id,path,status
01_source_ledger_evidence,01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence,canonical_vol1_lane
02_rag_architecture_chunking_embedding,01_CANONICAL_RESEARCH_LANES/02_rag_architecture_chunking_embedding,canonical_vol1_lane
03_comfyui_core_api_subgraph,01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph,canonical_vol1_lane
04_comfyui_custom_node_ecosystem,01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem,canonical_vol1_lane
05_pip_runtime_dependency_knowledge,01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge,canonical_vol1_lane
06_training_data_centric_ml_vol2,01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2,canonical_vol1_lane
07_cfg_denoise_inpaint_theory,01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory,canonical_vol1_lane
08_compatibility_matrix_rag,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_rag,canonical_vol1_lane
09_failure_signature_atlas_rag,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas_rag,canonical_vol1_lane
10_workflow_pattern_library_rag,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_library_rag,canonical_vol1_lane
11_gradio_ui_research,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research,canonical_vol1_lane
20_data_engineering_for_ai,07_PLACEHOLDERS_FOR_NEXT_TOPICS/20_data_engineering_for_ai,placeholder_user_owned
21_audio_speech_music_ai,07_PLACEHOLDERS_FOR_NEXT_TOPICS/21_audio_speech_music_ai,placeholder_user_owned
22_vision_language_ocr_document_ai,07_PLACEHOLDERS_FOR_NEXT_TOPICS/22_vision_language_ocr_document_ai,placeholder_user_owned
23_synthetic_data_dataset_creation,07_PLACEHOLDERS_FOR_NEXT_TOPICS/23_synthetic_data_dataset_creation,placeholder_user_owned
24_ai_application_architecture,07_PLACEHOLDERS_FOR_NEXT_TOPICS/24_ai_application_architecture,placeholder_user_owned
25_hardware_cost_performance_planning,07_PLACEHOLDERS_FOR_NEXT_TOPICS/25_hardware_cost_performance_planning,placeholder_user_owned
20_data_engineering_for_ai,01_CANONICAL_RESEARCH_LANES/20_data_engineering_for_ai,canonical_vol1_lane_expanded_notes
21_audio_speech_music_ai,01_CANONICAL_RESEARCH_LANES/21_audio_speech_music_ai,canonical_vol1_lane_expanded_notes
22_vision_language_ocr_document_ai,01_CANONICAL_RESEARCH_LANES/22_vision_language_ocr_document_ai,canonical_vol1_lane_expanded_notes
23_synthetic_data_dataset_creation,01_CANONICAL_RESEARCH_LANES/23_synthetic_data_dataset_creation,canonical_vol1_lane_expanded_notes
24_ai_application_architecture,01_CANONICAL_RESEARCH_LANES/24_ai_application_architecture,canonical_vol1_lane_expanded_notes
25_hardware_cost_performance_planning,01_CANONICAL_RESEARCH_LANES/25_hardware_cost_performance_planning,canonical_vol1_lane_expanded_notes
