package_id,package,pip_name,import_name,category,confidence,priority,version_seen,source_context,use,install_notes,windows_risk,rag_status,doc_file,doc_batch,source_urls,doc_quality
PIP-0001,torch,torch,torch,core_ml_runtime,confirmed,critical,1.13.1+cu117; 2.x CUDA builds; CUDA wheel indexes cu121/cuXXX mentioned,"EveryDream, ComfyUI, Stable Diffusion, VQA, Gradio inpaint app, EnvPack diagnostics",Primary PyTorch tensor/autograd/CUDA runtime used by SD/ComfyUI/diffusers/training stacks.,Use official PyTorch wheel index matching CUDA; avoid random pip upgrades inside an existing ComfyUI venv.,very_high,documented_v0_2,packages/torch.md,v0.2-core-runtime,https://pytorch.org/get-started/locally/ | https://pytorch.org/,full_card
PIP-0002,torchvision,torchvision,torchvision,core_ml_runtime,confirmed,critical,0.14.1+cu117; paired with torch installs,EveryDream Colab/install lines; local AI lab guide command,Vision ops/transforms/models paired to torch; dependency for many image stacks.,Must match torch/CUDA ABI family.,high,documented_v0_2,packages/torchvision.md,v0.2-core-runtime,https://pytorch.org/get-started/locally/,full_card
PIP-0003,torchaudio,torchaudio,torchaudio,core_ml_runtime,confirmed,medium,paired with torch install command,local AI lab guide command,Audio tensor utilities; often installed with torch bundle even when image-first.,Match torch/CUDA wheel index.,medium,documented_v0_2,packages/torchaudio.md,v0.2-core-runtime,https://pytorch.org/get-started/locally/,full_card
PIP-0004,xformers,xformers,xformers,attention_backend,confirmed,critical,mentioned in SD/EveryDream/ComfyUI troubleshooting,"Stable Diffusion webui logs, EveryDream, ComfyUI performance tuning",Memory-efficient attention backend; can drastically affect VRAM and speed.,Version must be compatible with torch build; many breakages come from mismatched xformers wheels.,very_high,documented_v0_2,packages/xformers.md,v0.2-core-runtime,https://github.com/facebookresearch/xformers | https://huggingface.co/docs/diffusers/en/optimization/xformers,full_card
PIP-0005,triton,triton,triton,kernel_backend,confirmed,medium,2.0.0a2 mentioned,EveryDream/Colab package discussions,Kernel compiler/runtime used by some torch optimization paths.,Windows support historically tricky; do not force unless a stack requires it.,very_high,documented_v0_2,packages/triton.md,v0.2-core-runtime,https://triton-lang.org/ | https://pytorch.org/,full_card
PIP-0006,diffusers,diffusers,diffusers,model_pipeline,confirmed,critical,0.5.1; 0.13.0; diffusers[torch]==0.13.0; modern inpaint app uses AutoPipelineForInpainting,"EveryDream, SD2 install fixes, Gradio inpainting app",Hugging Face diffusion pipelines for image/inpaint/control/video-adjacent workflows.,Pin with transformers/accelerate/safetensors/huggingface_hub for reproducible apps.,medium,documented_v0_2,packages/diffusers.md,v0.2-huggingface-diffusion,https://huggingface.co/docs/diffusers/index | https://huggingface.co/docs/diffusers/en/optimization/xformers | https://huggingface.co/docs/diffusers/main/en/using-diffusers/using_safetensors,full_card
PIP-0007,transformers,transformers,transformers,model_pipeline,confirmed,critical,4.25.1; current VQA/Qwen/BLIP references,"EveryDream autocaption traceback, VQA, Qwen-VL, SD2 fixes","Text encoders, BLIP/VQA, Qwen-VL, tokenizers/model loading.","Often couples to tokenizers, sentencepiece, accelerate, protobuf, huggingface_hub.",medium,documented_v0_2,packages/transformers.md,v0.2-huggingface-diffusion,https://huggingface.co/docs/transformers/en/installation | https://huggingface.co/docs/transformers/en/index | https://huggingface.co/docs/transformers/en/pipeline_tutorial,full_card
PIP-0008,accelerate,accelerate,accelerate,model_pipeline,confirmed,high,0.12.0 mentioned; SD2 install fixes,EveryDream/SD2/Colab installs,"Device placement, mixed precision, multi-device helpers for HF stacks.",Pin with diffusers/transformers for training/inference stacks.,medium,documented_v0_2,packages/accelerate.md,v0.2-huggingface-diffusion,https://huggingface.co/docs/accelerate/en/index | https://huggingface.co/docs/accelerate/package_reference/accelerator | https://huggingface.co/docs/accelerate/en/basic_tutorials/install,full_card
PIP-0009,safetensors,safetensors,safetensors,model_io,confirmed,critical,pip install safetensors referenced as missing,Stable Diffusion/EveryDream requirements fixes; model sorter header inspection,Safe model weight serialization and metadata/header inspection.,"Essential for modern .safetensors checkpoints, LoRAs, VAEs, ControlNets.",low,documented_v0_2,packages/safetensors.md,v0.2-model-io,https://huggingface.co/docs/safetensors/index | https://github.com/safetensors/safetensors | https://huggingface.co/docs/diffusers/main/en/using-diffusers/using_safetensors,full_card
PIP-0010,huggingface_hub,huggingface_hub,huggingface_hub,model_io,confirmed,critical,hf_hub_download used in pasted Gradio inpaint app,Gradio inpainting app; model download workflows,Download/cache models and files from Hugging Face.,"Document cache paths, tokens, offline mode, snapshot_download vs hf_hub_download.",low,documented_v0_2,packages/huggingface_hub.md,v0.2-model-io,https://huggingface.co/docs/huggingface_hub/en/guides/download | https://huggingface.co/docs/huggingface_hub/en/package_reference/environment_variables,full_card
