verification_id,topic_or_lane,claim_checked,status,source_url,source_type,evidence_note,freshness_class,action
SV-001,12_llm_fundamentals,"Transformer architecture is based solely on attention mechanisms, dispensing with recurrence and convolutions.",verified,https://arxiv.org/abs/1706.03762,primary_paper,arXiv abstract states the Transformer is based solely on attention mechanisms and dispenses with recurrence/convolutions.,stable,keep_as_stable_foundational_source
SV-002,13_agent_tool_use_mcp,"MCP is an open-source standard for connecting AI applications to external systems, including data sources, tools, and workflows.",verified,https://modelcontextprotocol.io/docs/getting-started/intro,official_docs,"Official MCP docs define it as an open-source standard connecting AI apps to external systems such as data sources, tools, and workflows.",fast_moving,keep_but_reverify_on_release
SV-003,13_agent_tool_use_mcp,Function/tool calling lets models interface with external systems and access application-provided data/actions.,verified,https://developers.openai.com/api/docs/guides/function-calling,official_docs,OpenAI docs describe function calling/tool calling as giving models access to external systems and data/actions via app-defined tools.,fast_moving,keep_but_reverify_on_release
SV-004,15_safety_security_red_team,"OWASP LLM Top 10 includes prompt injection, training data poisoning, supply-chain vulnerabilities, insecure plugins, excessive agency, and overreliance.",verified,https://owasp.org/www-project-top-10-for-large-language-model-applications/,security_standard,OWASP Top 10 page lists LLM01 through LLM10 including the checked categories.,fast_moving,keep_as_current_security_reference
SV-005,14_evaluation_observability,"MLflow supports LLM/agent evaluation and monitoring with evaluation datasets, human feedback, LLM-as-judge, systematic evaluation, and production monitoring.",verified,https://mlflow.org/docs/latest/genai/eval-monitor/,official_docs,"MLflow docs enumerate evaluation datasets, human feedback, LLM-as-judge, systematic evaluation, and production monitoring as key capabilities.",fast_moving,keep_but_reverify_on_release
SV-006,17_model_serving_deployment,"vLLM is an LLM inference/serving library with PagedAttention, continuous batching, prefix caching, quantization, structured outputs, tool calling, OpenAI-compatible API, and broad hardware support.",verified,https://docs.vllm.ai/en/latest/,official_docs,vLLM docs describe these serving features and supported models/hardware.,fast_moving,keep_but_reverify_on_release
SV-007,17_model_serving_deployment,"llama.cpp is a C/C++ LLM inference project that supports GGUF, quantization, local/server usage, CUDA/Metal/Vulkan/SYCL backends, and CPU/GPU hybrid inference.",verified,https://github.com/ggml-org/llama.cpp,code_repository,"Repository README describes LLM inference in C/C++, quantization options, server command, and hardware backend support.",fast_moving,keep_but_reverify_on_release
SV-008,11_gradio_ui_research,Gradio Interface is the high-level wrapper for a Python function/ML model; Blocks is the lower-level flexible layout/event API; ChatInterface is the chatbot abstraction; State supports per-session state.,verified,https://www.gradio.app/docs,official_docs,"Official Gradio docs and guides describe Interface, Blocks, ChatInterface, and session State roles.",fast_moving,keep_but_reverify_on_release
SV-009,21_audio_speech_music_ai,Qwen3-TTS includes 0.6B and 1.7B variants and supports 3-second rapid voice cloning / controllable TTS.,verified,https://github.com/QwenLM/Qwen3-TTS,code_repository,Search result and official repo indicate Qwen3-TTS 12Hz 1.7B/0.6B models and 3-second cloning capability.,volatile,keep_as_2026_snapshot; reverify_before_public_release
SV-010,21_audio_speech_music_ai,NVIDIA PersonaPlex is a full-duplex conversational speech model that listens and speaks at the same time.,verified,https://research.nvidia.com/labs/adlr/personaplex/,primary_research_project,NVIDIA project page describes PersonaPlex as full duplex and capable of listening/speaking simultaneously.,volatile,keep_as_2026_snapshot; reverify_before_public_release
SV-011,22_vision_language_ocr_document_ai,DeepSeek-OCR uses Contexts Optical Compression and investigates visual/text compression for OCR/long-context compression.,verified,https://arxiv.org/abs/2510.18234,primary_paper,arXiv result describes DeepSeek-OCR: Contexts Optical Compression and its compression ratios/accuracy claims.,volatile,keep_as_2026_snapshot; reverify_before_public_release
SV-012,25_hardware_cost_performance_planning,Google announced TPU 8t/8i; TPU 8i targets inference and has 384 MB on-chip SRAM.,verified,https://cloud.google.com/blog/products/compute/tpu-8t-and-tpu-8i-technical-deep-dive,official_vendor_blog,"Google Cloud technical deep dive table lists TPU 8t/8i, primary workload, and 384 MB on-chip SRAM for TPU 8i.",volatile,keep_as_2026_snapshot; reverify_before_public_release
