priority,domain,project,repo_or_source,can_train,methods,consumer_hardware_feasibility,research_status,aiwf_decision,source_note
P0,LLM/Bot,Unsloth,https://github.com/unslothai/unsloth,"LLM SFT, QLoRA/LoRA, RL/GRPO, pretraining slices","4-bit/16-bit/FP8, LoRA/QLoRA, RL",Excellent consumer target; 7B-class adapters are realistic; 14B depends on settings,Current/high-motion,Primary beginner-to-intermediate bot trainer candidate,Official README
P0,LLM/Bot,LLaMA-Factory,https://github.com/hiyouga/LLaMA-Factory,"LLM/VLM SFT, pretraining, reward modeling, DPO/PPO/KTO/ORPO/SimPO","LoRA, QLoRA, freeze, full, OFT/QOFT, preference tuning",Strong consumer + scalable path; published table estimates 7B 4-bit QLoRA at ~6GB and 14B at ~12GB before workload overhead,Current/high-coverage,Primary GUI/YAML map for Vol. 2,Official README
P0,LLM/Bot,Axolotl,https://github.com/axolotl-ai-cloud/axolotl,"LLM/VLM/audio-model post-training, SFT, RM/PRM, DPO-family, GRPO","LoRA, QLoRA, full, QAT, GPTQ, DPO/KTO/ORPO/GRPO",Good but more advanced; better as serious YAML pipeline than absolute beginner UI,Current/pro-grade,Use as serious pipeline reference,Official README
P0,LLM/Bot,Hugging Face TRL,https://github.com/huggingface/trl,"SFT, DPO, GRPO, RewardTrainer, PPO-style post-training",Trainer classes on Transformers/PEFT/Accelerate,Consumer viable for small models/adapters; foundation for many other tools,Current/library,Teach concepts and use under wrappers,Official README
P0,LLM/Bot,torchtune,https://github.com/meta-pytorch/torchtune,PyTorch-native Llama/Qwen-style fine-tuning recipes,"LoRA, full, distributed recipes",Good for principled PyTorch examples; less GUI beginner friendly,Current/library,Use for clean educational examples,Official README
P0,Image,SimpleTuner,https://github.com/bghira/SimpleTuner,"SDXL, SD3, Flux, Flux2, Chroma, Sana, Wan, LTX, Hunyuan, audio/video diffusion","PEFT LoRA, LyCORIS, full-rank, ControlNet, quantized training","12GB+ small, 16GB+ medium LoRA, 24GB+ large LoRA; model-specific",Current/huge-scope,Primary advanced diffusion/video trainer reference,Official README
P0,Image/Video,Ostris AI-Toolkit,https://github.com/ostris/ai-toolkit,"Flux, Flux2, Z-Image, Qwen Image, SDXL, SD1.5, Wan 2.1/2.2, LTX-2",LoRA/adapter fine-tuning via GUI/CLI,Consumer-grade stated goal; heavy models still need compromises/cloud,Current/practical,Primary easy UI/CLI candidate for AIWF wrappers,Official README
P0,Image,OneTrainer,https://github.com/Nerogar/OneTrainer,"SD 1.5/2.x/3.x/3.5, SDXL, Flux, Flux2, Z-Image, Qwen Image, Hunyuan Video, embeddings","Full, LoRA, embeddings, masked training",Good Windows-friendly GUI candidate; exact feasibility model-dependent,Current/GUI,Important alternative to kohya_ss for modern diffusion,Official README/search result
P0,Video,musubi-tuner,https://github.com/kohya-ss/musubi-tuner,"HunyuanVideo, Wan2.1/2.2, FramePack, Flux Kontext, Flux2, Qwen-Image, Z-Image","LoRA, LoHa/LoKr, finetune scripts",Video LoRA can be possible but slow; 16GB needs conservative settings/block swap/offload,Current/video-specialist,Primary video LoRA reference,Official README
