lab,concept,deliverable
empirical_vs_population_risk,generalization_gap,loss_curve_with_commentary
bias_variance_polyfit,underfit_overfit,train_test_plot
leakage_trap,split_hygiene,random_vs_grouped_result
regularization_dial,capacity_control,comparison_table
bootstrap_interval,uncertainty,metric_with_ci
calibration_curve,probability_quality,reliability_diagram
conformal_prediction,uncertainty_sets,prediction_set_examples
ood_split,domain_shift,failure_memo
label_noise_stress,robustness,noise_vs_metric_chart
release_memo,evidence_based_decision,ship_hold_retrain_reject
