pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_AdvancedControlNetApply,Apply Advanced ControlNet [DEPRECATED],Advanced ControlNet/deprecated,mapping_confirmed,deprecated,legacy inputs,legacy outputs,legacy/deprecated compatibility,advanced_control deprecated module,do_not_generate,no,no,"deprecated,red_node_avoidance",turn146file0;turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_AdvancedControlNetApplySingle,Apply Advanced ControlNet(1) [DEPRECATED],Advanced ControlNet/deprecated,mapping_confirmed,deprecated,legacy inputs,legacy outputs,legacy/deprecated compatibility,advanced_control deprecated module,do_not_generate,no,no,"deprecated,red_node_avoidance",turn146file0;turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_AdvancedControlNetApplySingle_v2,Apply Advanced ControlNet(1),Adv-ControlNet,schema_confirmed,active,"required conditioning, control_net, image, strength, start_percent, end_percent; optional mask_optional, timestep_kf, latent_kf_override, weights_override, vae_optional","CONDITIONING, MODEL model_opt",Single-conditioning advanced ControlNet apply.,Advanced-ControlNet; ControlNet models in models/controlnet; preprocessors usually provided by ControlNet Aux or native image inputs.,guarded_generate_after_local_test,False,True,controlnet_model_required;advanced_conditioning;version_sensitive,turn149file0 turn150file0 turn151file0 turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_AdvancedControlNetApply_v2,Apply Advanced ControlNet,Adv-ControlNet,schema_confirmed,active,"required positive, negative, control_net, image, strength, start_percent, end_percent; optional mask_optional, timestep_kf, latent_kf_override, weights_override, vae_optional; hidden autosize","CONDITIONING positive, CONDITIONING negative","Apply advanced ControlNet to positive/negative conditioning with masks, weights, latent/timestep keyframes.",Advanced-ControlNet; ControlNet models in models/controlnet; preprocessors usually provided by ControlNet Aux or native image inputs.,safe_to_generate_if_advanced_controlnet_installed,True,True,controlnet_model_required;advanced_conditioning,turn149file0 turn150file0 turn151file0 turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_ControlNet++InputNode,ControlNet++ Input,Advanced ControlNet,mapping_confirmed,active,ControlNet++ inputs,CONTROLNET_PLUSPLUS_INPUT,ControlNet++ input,advanced_control nodes; controlnet models; optional sparse/control++ deps,guarded_generate_after_schema_check,no,yes,"controlnet,keyframes,workflow_sensitive",turn146file0;turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_ControlNet++LoaderAdvanced,Load ControlNet++ Model (Multi),Advanced ControlNet,mapping_confirmed,active,model file,CONTROL_NET,ControlNet++ advanced loader,advanced_control nodes; controlnet models; optional sparse/control++ deps,guarded_generate_after_schema_check,no,yes,"controlnet,keyframes,workflow_sensitive",turn146file0;turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_ControlNet++LoaderSingle,Load ControlNet++ Model (Single),Advanced ControlNet,mapping_confirmed,active,model file,CONTROL_NET,ControlNet++ single loader,advanced_control nodes; controlnet models; optional sparse/control++ deps,guarded_generate_after_schema_check,no,yes,"controlnet,keyframes,workflow_sensitive",turn146file0;turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_ControlNetLoaderAdvanced,Load Advanced ControlNet Model,Adv-ControlNet,schema_confirmed,active,required cnet from models/controlnet; optional _tk_opt TIMESTEP_KEYFRAME,CONTROL_NET,Load advanced ControlNet with optional timestep keyframes.,Advanced-ControlNet; ControlNet models in models/controlnet; preprocessors usually provided by ControlNet Aux or native image inputs.,safe_to_generate_if_advanced_controlnet_installed,True,True,controlnet_model_required;advanced_conditioning,turn149file0 turn150file0 turn151file0 turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_CtrLoRALoader,Load CtrLoRA Model,Advanced ControlNet,mapping_confirmed,active,lora/control model,CONTROL_NET,CtrLoRA loader,advanced_control nodes; controlnet models; optional sparse/control++ deps,guarded_generate_after_schema_check,no,yes,"controlnet,keyframes,workflow_sensitive",turn146file0;turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_CustomControlNetWeightsFlux,ControlNet Custom Weights Flux,Adv-ControlNet/weights/ControlNet,schema_confirmed,active,"required input_0..input_18; optional uncond_multiplier, cn_extras","CONTROL_NET_WEIGHTS, TIMESTEP_KEYFRAME",Custom Flux ControlNet input block weights.,Advanced-ControlNet; ControlNet models in models/controlnet; preprocessors usually provided by ControlNet Aux or native image inputs.,guarded_generate_after_local_test,False,True,controlnet_model_required;advanced_conditioning;version_sensitive,turn149file0 turn150file0 turn151file0 turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_CustomControlNetWeightsSD15,ControlNet Custom Weights SD1.5,Adv-ControlNet/weights/ControlNet,schema_confirmed,active,"required output_0..output_11 and middle_0 custom floats; optional uncond_multiplier, cn_extras","CONTROL_NET_WEIGHTS, TIMESTEP_KEYFRAME",Custom SD1.5 block weights.,Advanced-ControlNet; ControlNet models in models/controlnet; preprocessors usually provided by ControlNet Aux or native image inputs.,guarded_generate_after_local_test,False,True,controlnet_model_required;advanced_conditioning;version_sensitive,turn149file0 turn150file0 turn151file0 turn147file0,
PASS_02A,16,ComfyUI-Advanced-ControlNet,Kosinkadink/ComfyUI-Advanced-ControlNet,ACN_CustomT2IAdapterWeights,T2IAdapter Custom Weights,Adv-ControlNet/weights/T2IAdapter,schema_confirmed,active,"required input_0..input_3; optional uncond_multiplier, cn_extras","CONTROL_NET_WEIGHTS, TIMESTEP_KEYFRAME",Custom T2IAdapter weights.,Advanced-ControlNet; ControlNet models in models/controlnet; preprocessors usually provided by ControlNet Aux or native image inputs.,guarded_generate_after_local_test,False,True,controlnet_model_required;advanced_conditioning;version_sensitive,turn149file0 turn150file0 turn151file0 turn147file0,
