priority,node_pack,repo_url,primary_aiwf_folder,why_cover_it,coverage_status,research_pass,resolved_repo_url,coverage_note
A,ComfyUI-Manager,https://github.com/Comfy-Org/ComfyUI-Manager,README / INSTALL_CUSTOM_NODES,"Installation, snapshots, missing-node resolver, node registry; needed for beginner install docs.",covered,PASS_01,,
A,ComfyUI Impact Pack,https://github.com/ltdrdata/ComfyUI-Impact-Pack,image_face_restore / image_advanced_control / image_advanced_upscale,"Detailer, face/detail workflows, detectors, iterative upscale; one of the most common packs.",covered,PASS_01,,
A,ComfyUI Impact Subpack,https://github.com/ltdrdata/ComfyUI-Impact-Subpack,image_face_restore / image_advanced_control,Companion detector/model providers for Impact Pack.,covered,PASS_02C,,
A,ComfyUI_IPAdapter_plus,https://github.com/cubiq/ComfyUI_IPAdapter_plus,image_ipadapter,"Reference image conditioning, style transfer, face/id guidance; core modern image control pattern.",covered,PASS_02A/B,,
A,ComfyUI-Inpaint-CropAndStitch,https://github.com/lquesada/ComfyUI-Inpaint-CropAndStitch,image_advanced_inpaint,Crop-before-sample and stitch-back inpainting; fixes wasted resolution and weak local repair.,covered,PASS_02C,,
A,ComfyUI Inpaint Nodes,https://github.com/Acly/comfyui-inpaint-nodes,image_advanced_inpaint,"Better inpaint preprocessing, Fooocus inpaint patch support, mask/context improvement.",covered,PASS_02A,,
A,comfyui-reactor-node / ComfyUI-ReActor,https://github.com/Gourieff/ComfyUI-ReActor,image_face_restore,"Face swap/restoration, identity workflows, A1111 parity path.",covered,PASS_02C,,
A,ComfyUI's ControlNet Auxiliary Preprocessors,https://github.com/Fannovel16/comfyui_controlnet_aux,image_advanced_control,"Canny, depth, OpenPose, lineart, tile, normal, segmentation preprocessors; base modern control toolkit.",covered,PASS_02A/B,,
A,ComfyUI-Advanced-ControlNet,https://github.com/Kosinkadink/ComfyUI-Advanced-ControlNet,image_advanced_control / animation,"ControlNet scheduling, masks, timestep control, batched/video control patterns.",covered,PASS_02A/B,,
A,ComfyUI-segment-anything-2,https://github.com/kijai/ComfyUI-segment-anything-2,image_advanced_control / image_advanced_inpaint / video_modern,SAM2 image/video segmentation; important for modern masking.,covered,PASS_02C,,
A,segment anything,https://github.com/storyicon/comfyui_segment_anything,image_advanced_control / image_advanced_inpaint,GroundingDINO + SAM style semantic mask workflows; still common in shared workflows.,covered,PASS_02C,,
A,rgthree's ComfyUI Nodes,https://github.com/rgthree/rgthree-comfy,all folders,"Reroute, context, switches, muters, LoRA stack; makes complex workflows readable.",covered,PASS_01,,
A,ComfyUI-VideoHelperSuite,https://github.com/Kosinkadink/ComfyUI-VideoHelperSuite,video_modern / animation,"Load video, combine frames, previews, batching; essential video utility layer.",covered,PASS_01,,
A,ComfyUI-WanVideoWrapper,https://github.com/kijai/ComfyUI-WanVideoWrapper,video_modern,Wan workflows and bleeding-edge video support; document carefully vs native nodes.,covered,PASS_02A/B,,
A,ComfyUI-LTXVideo,https://github.com/Lightricks/ComfyUI-LTXVideo,video_modern,Official/current LTX-Video support path; must document LTX 2.x/2.3 usage.,covered,PASS_02C,,
