pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,FluxTrainModelSelect,FluxTrainModelSelect,FluxTrainer,schema_confirmed,active,"transformer, vae, clip_l, t5; optional lora_path",TRAIN_FLUX_MODELS,Select Flux training model paths.,"models/unet, models/vae, models/clip",rag_only_training_workflow,no,yes,"training,flux,paths",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,TrainDatasetGeneralConfig,TrainDatasetGeneralConfig,FluxTrainer,schema_confirmed,active,"color_aug, flip_aug, shuffle_caption, caption_dropout_rate, alpha_mask; optional reset_on_queue/caption_extension",JSON,Create general dataset config.,training dataset folders/captions,rag_only_training_workflow,no,yes,"training,dataset_config",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,TrainDatasetRegularization,TrainDatasetRegularization,FluxTrainer,schema_confirmed,active,"dataset_path, class_tokens, num_repeats",JSON,Create regularization subset config.,regularization images/captions,rag_only_training_workflow,no,yes,"training,regularization",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,TrainDatasetAdd,TrainDatasetAdd,FluxTrainer,schema_confirmed,active,dataset_config; width/height/batch_size; dataset_path; class_tokens; bucket settings; optional regularization,JSON,Append dataset subset to training config.,image dataset folders/captions,rag_only_training_workflow,no,yes,"training,dataset_config,bucketing",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,OptimizerConfig,OptimizerConfig,FluxTrainer,schema_confirmed,active,optimizer_type; max_grad_norm; scheduler settings; min_snr_gamma; extra_optimizer_args,ARGS,General optimizer settings.,training optimizer deps,rag_only_training_workflow,no,yes,"training,optimizer",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,OptimizerConfigAdafactor,OptimizerConfigAdafactor,FluxTrainer,schema_confirmed,active,adafactor scheduler/relative/scale/warmup/clip settings; min_snr_gamma; extra args,ARGS,Adafactor optimizer settings.,training optimizer deps,rag_only_training_workflow,no,yes,"training,optimizer",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,FluxTrainerLossConfig,FluxTrainerLossConfig,FluxTrainer,schema_confirmed,active,loss_type; huber_schedule; huber_c; huber_scale,ARGS,Flux training loss settings.,training loss config,rag_only_training_workflow,no,yes,"training,loss",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,OptimizerConfigProdigy,OptimizerConfigProdigy,FluxTrainer,schema_confirmed,active,prodigy optimizer settings; scheduler; weight_decay; decouple; min_snr_gamma,ARGS,Prodigy optimizer settings.,training optimizer deps,rag_only_training_workflow,no,yes,"training,optimizer",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,TrainNetworkConfig,TrainNetworkConfig,FluxTrainer,schema_confirmed,active,network_type; lycoris_preset; factor; extra_network_args,NETWORK_CONFIG,Create LoRA/LyCORIS network config.,kohya/lycoris modules,rag_only_training_workflow,no,yes,"training,lora,lycoris",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,OptimizerConfigProdigyPlusScheduleFree,OptimizerConfigProdigyPlusScheduleFree,FluxTrainer,schema_confirmed,active,"lr, prodigy_steps, d0, d_coef, stableadam/cautious/adopt/grams/etc.; extra args",ARGS,ProdigyPlusScheduleFree optimizer settings.,training optimizer deps,rag_only_training_workflow,no,yes,"training,optimizer,experimental",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,InitFluxLoRATraining,InitFluxLoRATraining,FluxTrainer,schema_confirmed,active,flux_models; dataset; optimizer_settings; output; network dim/alpha; learning rate; steps; cache/blockswap/weighting/timestep/dtype/attention/sample prompts; optional args,training job / outputs vary,Initialize/run Flux LoRA training from ComfyUI.,FluxTrainer training scripts; dataset folders; high VRAM/long process,rag_only_training_workflow,no,yes,"training,process_launcher,local_paths,high_vram",turn196file0;turn197file0,Not for inference workflow JSON; keep for training guide/workflows.
PASS_02D,30,ComfyUI-FluxTrainer,kijai/ComfyUI-FluxTrainer,SD3 training nodes,SD3 training nodes,FluxTrainer,module_inventory_confirmed,active,mapping confirmed; exact INPUT_TYPES not fully audited this pass,unknown until module sweep,Training module imported from nodes_sd3/nodes_sdxl; exact rows require separate training pass.,SD3/SDXL training scripts,rag_only_training_workflow,no,yes,"training,module_inventory,needs_schema_sweep",turn196file0,
