duplicate_source_archive,duplicate_internal_path,duplicate_size_bytes,sha256,kept_as
AIWF_Vol2_Training_The_Fear_RAG_v0_17_DATA_CENTRIC_ML.zip,aiwf_vol2_training_the_fear_rag_v0_17/05_specs/AIWF_Image_LoRA_Preset_Builder_v0_1.md,1848,5dad56d2af2d480fa6753709544452964dd8955d46ab6960f1cecafbfa2b4590,CONTENT/AIWF_Vol2_Training_The_Fear_RAG_v0_17_DATA_CENTRIC_ML/aiwf_vol2_training_the_fear_rag_v0_17/01_research_cards/099_aiwf_image_lora_preset_builder_spec.md
AIWF_Vol2_Training_The_Fear_RAG_v0_17_DATA_CENTRIC_ML.zip,aiwf_vol2_training_the_fear_rag_v0_17/07_theory_law_rules/LEGAL_RIGHTS_CONSENT_BASELINE.md,4637,e89eee14ec889ba046f4bc093f0e848e462537d8381ab3abab50df121f9e3ec4,CONTENT/AIWF_Vol2_Training_The_Fear_RAG_v0_17_DATA_CENTRIC_ML/aiwf_vol2_training_the_fear_rag_v0_17/01_research_cards/026_training_law_rights_consent_baseline.md
AIWF_Vol2_Training_The_Fear_RAG_v0_17_DATA_CENTRIC_ML.zip,aiwf_vol2_training_the_fear_rag_v0_17/07_theory_law_rules/TRAINING_THEORY_CORE_LAWS.md,4112,8a832366472bb0fb37e2de2ac4322d04c976f13505fa7bd126d4434149fea394,CONTENT/AIWF_Vol2_Training_The_Fear_RAG_v0_17_DATA_CENTRIC_ML/aiwf_vol2_training_the_fear_rag_v0_17/01_research_cards/027_training_theory_core_laws.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/ENVIRONMENT_AUDIT_GUIDE.md,1293,b6b62a9d0e984438d3369d677d35337d045803fe833809179fb65c3b209ca8be,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/ENVIRONMENT_AUDIT_GUIDE.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/torch.md,1815,1b5ef004687f1067b5bbc72b128a75520d9c8faeb630fed8ba1ad99d08e883fc,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/torch.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/torchvision.md,1297,39632b3a352b9296f6013470ce0c6e87d6bb20bd5a84068c4a55461f03b51f10,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/torchvision.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/torchaudio.md,1275,db0449f3f0ee028c55f737349021b6a2b44e135c90eed3c14d06600be966a6d7,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/torchaudio.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/xformers.md,1598,170cf375322b3e0c80ffe889ac0f437eb44c85c12a25c0c67d01389d3d531c80,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/xformers.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/triton.md,1229,fa493483742346456e14def2488033355a50d87fa37f614543cab4f69cfacb3f,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/triton.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/diffusers.md,1529,9e65e7deb33af63af30ec14a0ea79e0210e60fec91e2fedf546cda07ba83f6c5,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/diffusers.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/accelerate.md,1359,c459921f8af5a59146378a8bc7426719e361b77190bf6a401328779257300c6b,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/accelerate.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/gradio.md,1375,81f67c9af60487d904ddd7fc60bac69cdb4906cde3f52891d58a333269befc7d,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/gradio.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/fastapi.md,1338,4362e0f4adde852ac2433047f637e33709a0b61b64552ab27990ec533d182e3e,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/fastapi.md
AIWF_Pip_Package_RAG_Starter_v1_5.zip,AIWF_Pip_Package_RAG_Starter_v1_5/packages/pydantic.md,1192,95d507bcf2d3d6236c616aa19012dfa2785d8d51d01dc26600202cbf94ac2a27,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/packages/pydantic.md
