topic,source_claim,status,verification_basis,canonical_url,notes
20_data_engineering_for_ai,"Heck et al. 2024, What About the Data? arXiv:2402.05156 / CAIN 2024",verified_primary,arXiv/ACM metadata found; source supports data engineering for AI systems mapping-study framing.,https://arxiv.org/abs/2402.05156,Search retrieved some noise for Petra; arXiv identifier should be used for exact lookup.
20_data_engineering_for_ai,"Jarrahi et al., The Principles of Data-Centric AI, CACM 2023",verified_primary,"ACM/CACM page verifies title, authors, journal, volume/issue/pages.",https://dl.acm.org/doi/10.1145/3571724,Good primary anchor for data-centric AI principles.
20_data_engineering_for_ai,"lakeFS, 15 Data Engineering Best Practices to Follow in 2026",verified_industry,"lakeFS page found with Feb. 10, 2026 date and 15-practice article.",https://lakefs.io/blog/data-engineering-best-practices/,"Industry source; use for practice recommendations, not universal empirical claims."
20_data_engineering_for_ai,"Gradient Flow, Data Engineering in 2026: What Changes?",verified_industry,Gradient Flow Substack post found.,https://gradientflow.substack.com/p/data-engineering-for-machine-users,Industry analysis; mark as interpretation/forecast.
20_data_engineering_for_ai,"DBTA, Get the Rundown on Data Engineering Trends for 2026",verified_industry,"DBTA article found dated Feb. 11, 2026.",https://www.dbta.com/Editorial/News-Flashes/Get-the-Rundown-on-Data-Engineering-Trends-for-2026-with-Informatica-lakeFS-and-Aerospike-173471.aspx,Good supporting trend source.
20_data_engineering_for_ai,Feast documentation for feature stores and point-in-time correctness,needs_exact_url,Not manually opened in this focused pass; source family is plausible but exact citation URL should be pinned.,https://docs.feast.dev/,Add official docs URL before treating as verified.
21_audio_speech_music_ai,"Qwen3-TTS Technical Report / model cards, 0.6B–1.7B, zero-shot voice cloning, 10 languages, Apache 2.0",verified_primary,"arXiv and Qwen GitHub verified Qwen3-TTS series, 3-second voice cloning, 0.6B/1.7B variants, 10 languages, Apache 2.0 release.",https://arxiv.org/abs/2601.15621,Strong primary anchor; model-card details should cite QwenLM GitHub as secondary canonical URL.
21_audio_speech_music_ai,"Fish Speech S2 release notes / GitHub, multilingual expressive TTS",verified_primary,Fish Speech GitHub/docs/releases and arXiv technical report found.,https://github.com/fishaudio/fish-speech,Some counts vary by page: ~50 languages in release/docs vs 80+ in API/developer docs. Prefer exact source wording.
21_audio_speech_music_ai,"NVIDIA PersonaPlex Jan 2026 announcement, full-duplex voice AI",not_found_high_risk,Focused web search did not locate an NVIDIA PersonaPlex official announcement.,,Do not use as verified. Replace with verified full-duplex/open voice-agent sources or mark as unverified until found.
21_audio_speech_music_ai,Kokoro-82M on-device / edge TTS performance,partially_verified,Multiple 2026 sources and model/API pages verify Kokoro-82M as lightweight/on-device-friendly TTS; official single canonical model card should be pinned.,https://www.together.ai/models/kokoro-82m,Use 82M parameter claim as verified; keep latency claims source-specific.
21_audio_speech_music_ai,WebRTC + Gradio real-time audio streaming patterns,needs_exact_url,Not manually verified in this pass. Gradio audio docs likely exist; exact guide URL needs pinning.,https://www.gradio.app/docs,Add exact Gradio streaming/audio guide citation.
22_vision_language_ocr_document_ai,Qwen3-VL-235B-A22B Technical Report; OCR 32+ languages; long document/video context,verified_primary_with_date_correction,"Qwen3-VL arXiv technical report and Qwen/HF pages verify 235B-A22B variants, multimodal, long context, OCR expansion.",https://arxiv.org/abs/2511.21631,"Source is late 2025 technical report, not 2026. The notes should not label the primary report as 2026."
22_vision_language_ocr_document_ai,"DeepSeek-OCR, Contexts Optical Compression, DeepSeek3B-MoE-A570M decoder, 97% precision under <10x compression",verified_primary,"arXiv and GitHub verify title, method, components, compression ratios, OCR precision claims, and public code/model weights.",https://arxiv.org/abs/2510.18234,Strong primary anchor.
22_vision_language_ocr_document_ai,DeepSeek-VL2 MoE with 4.5B active parameters,verified_primary_with_nuance,DeepSeek-VL2 arXiv abstract reports variants with 1.0B/2.8B/4.5B activated parameters; paper body describes language-component active parameters differently.,https://arxiv.org/abs/2412.10302,Use exact wording: model series activated parameters; avoid implying every component has 4.5B active.
22_vision_language_ocr_document_ai,LlamaParse agentic OCR / document parsing with citations/confidence workflows,partially_verified,LlamaParse docs/site verify agentic OCR/document parsing platform and complex docs; exact citation/confidence benchmark claims need more specific source.,https://developers.llamaindex.ai/,Use official docs for feature claims; mark benchmark/industry performance as needs exact source.
22_vision_language_ocr_document_ai,BentoML Best Open-Source VLMs in 2026,verified_industry,BentoML VLM guide found with Dec. 2025/2026 framing.,https://www.bentoml.com/blog/multimodal-ai-a-guide-to-open-source-vision-language-models,"Industry guide; use as support, not primary model facts."
23_synthetic_data_dataset_creation,Confident AI definitive guide to synthetic data with DeepEval 5-step-ish pipeline,verified_industry,"Confident AI guide found; DeepEval docs verify Synthesizer, document chunking, evolutions, QA of synthetic goldens.",https://www.confident-ai.com/blog/the-definitive-guide-to-synthetic-data-generation-using-llms,Good practical source; the exact five-step pipeline in notes is a synthesis and should be labeled as AIWF/DeepEval-derived.
23_synthetic_data_dataset_creation,ACL 2026 Tutorial: Synthetic Data in the Era of LLMs,verified_but_year_corrected,"ACL Anthology verifies tutorial title for ACL 2025, not ACL 2026.",https://aclanthology.org/2025.acl-tutorials.7/,Correct year in archive source list from ACL 2026 to ACL 2025.
23_synthetic_data_dataset_creation,DeepEval GitHub/docs for synthetic data generation,verified_primary,"DeepEval docs verify synthetic data generation, goldens, evolutions, and evaluation framework.",https://deepeval.com/docs/synthetic-data-generation-introduction,"Strong source for eval dataset generation, not broad frontier-training percentages."
23_synthetic_data_dataset_creation,Synthetic Data Generation Using Large Language Models: Advances in Text and Code,verified_academic,arXiv and ResearchGate page found for survey on LLM-driven synthetic data in text/code.,https://arxiv.org/html/2503.14023v1,Use arXiv as primary over ResearchGate mirror.
23_synthetic_data_dataset_creation,30–70% of frontier training data is synthetic,needs_stronger_source,Not directly verified by a primary source in this run.,,Keep as volatile claim / industry-estimate until backed by a named lab report or paper.
24_ai_application_architecture,SystemDesignHandbook AI Application Architecture / 2026 system design guide,partially_verified,SystemDesignHandbook site found with 2026 system design content; exact AI Application Architecture page was not confirmed by title in search result.,https://www.systemdesignhandbook.com/,Use as general system-design source unless exact page is found.
24_ai_application_architecture,LangGraph official docs for stateful/durable agent orchestration,verified_primary,LangGraph official/GitHub docs verify low-level orchestration for long-running stateful agents.,https://github.com/langchain-ai/langgraph,Good anchor for agentic state machines.
24_ai_application_architecture,CrewAI official docs for multi-agent orchestration,verified_primary,"CrewAI official docs and site verify collaborative agents, crews, flows, guardrails, memory, knowledge, and observability.",https://docs.crewai.com/,Good anchor for multi-agent patterns.
24_ai_application_architecture,RAGAS / ARES evaluation frameworks,partially_verified,Ragas official docs verified; ARES not manually verified in this focused pass.,https://docs.ragas.io/en/stable/,Separate RAGAS and ARES records in future source list.
24_ai_application_architecture,"LangSmith, Phoenix, Helicone production reports",needs_exact_url,Not manually verified in this focused pass.,,Add individual official URLs before treating as verified.
25_hardware_cost_performance_planning,"Google Cloud TPU 8t / TPU 8i announcement, Apr. 22 2026",verified_primary,"Google official blog and Google Cloud technical deep dive verify TPU 8t/8i, training/inference specialization, scale, perf/$ and perf/watt claims.",https://cloud.google.com/blog/products/compute/tpu-8t-and-tpu-8i-technical-deep-dive,"Official technical deep dive says TPU 8t up to 2.7x price-performance vs Ironwood, while some notes/source list say 2.8x. Prefer 2.7x from Google Cloud technical deep dive."
25_hardware_cost_performance_planning,TPU 8i delivers 80% inference perf/$ improvement over Ironwood,verified_primary,Google Cloud technical deep dive verifies up to 80% performance-per-dollar improvement over Ironwood for inference.,https://cloud.google.com/blog/products/compute/tpu-8t-and-tpu-8i-technical-deep-dive,Good official anchor.
25_hardware_cost_performance_planning,TPU 8i has 384 MB SRAM per chip,verified_secondary,ITPro coverage cites 384MB onboard SRAM per 8i TPU; not found in the opened official Google lines during this pass.,https://www.itpro.com/infrastructure/google-cloud-eighth-generation-tpu-8t-8i-ai-inference-training,Treat as secondary until official spec table is captured.
25_hardware_cost_performance_planning,MLPerf Inference 2026 results,verified_primary,"MLCommons MLPerf Inference v6.0 results page found dated Apr. 1, 2026.",https://mlcommons.org/2026/04/mlperf-inference-v6-0-results/,Use for benchmark framing.
25_hardware_cost_performance_planning,Pinggy fast AI inference hardware in 2026 guide,verified_industry,"Pinggy article found dated Apr. 28, 2026.",https://pinggy.io/blog/fastest_ai_inference_hardware/,"Industry guide; good for broad comparison, not source of truth for vendor specs."
25_hardware_cost_performance_planning,Electricity is often 30–50% of inference TCO,needs_stronger_source,Not directly verified in this run.,,Keep as volatile planning heuristic until backed by a named cost/TCO report.
