lane_id,slug,title,status,freshness,path
01_source_ledger_evidence,01_source_ledger_evidence,Source Ledger Evidence,,,01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence
02_rag_architecture_chunking_embedding,02_rag_architecture_chunking_embedding,Rag Architecture Chunking Embedding,,,01_CANONICAL_RESEARCH_LANES/02_rag_architecture_chunking_embedding
03_comfyui_core_api_subgraph,03_comfyui_core_api_subgraph,Comfyui Core Api Subgraph,,,01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph
04_comfyui_custom_node_ecosystem,04_comfyui_custom_node_ecosystem,Comfyui Custom Node Ecosystem,,,01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem
05_pip_runtime_dependency_knowledge,05_pip_runtime_dependency_knowledge,Pip Runtime Dependency Knowledge,,,01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge
06_training_data_centric_ml_vol2,06_training_data_centric_ml_vol2,Training Data Centric Ml Vol2,,,01_CANONICAL_RESEARCH_LANES/06_training_data_centric_ml_vol2
07_cfg_denoise_inpaint_theory,07_cfg_denoise_inpaint_theory,Cfg Denoise Inpaint Theory,,,01_CANONICAL_RESEARCH_LANES/07_cfg_denoise_inpaint_theory
08_compatibility_matrix_rag,08_compatibility_matrix_rag,Compatibility Matrix Rag,,,01_CANONICAL_RESEARCH_LANES/08_compatibility_matrix_rag
09_failure_signature_atlas_rag,09_failure_signature_atlas_rag,Failure Signature Atlas Rag,,,01_CANONICAL_RESEARCH_LANES/09_failure_signature_atlas_rag
10_workflow_pattern_library_rag,10_workflow_pattern_library_rag,Workflow Pattern Library Rag,,,01_CANONICAL_RESEARCH_LANES/10_workflow_pattern_library_rag
11_gradio_ui_research,11_gradio_ui_research,Gradio Ui Research,,,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research
12_llm_fundamentals,12_llm_fundamentals,Llm Fundamentals,,,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals
13_agent_tool_use_mcp,13_agent_tool_use_mcp,Agent Tool Use Mcp,,,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp
14_evaluation_observability,14_evaluation_observability,Evaluation Observability,,,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability
15_safety_security_red_team,15_safety_security_red_team,Safety Security Red Team,,,01_CANONICAL_RESEARCH_LANES/15_safety_security_red_team
16_governance_licensing_ethics,16_governance_licensing_ethics,Governance Licensing Ethics,,,01_CANONICAL_RESEARCH_LANES/16_governance_licensing_ethics
17_model_serving_deployment,17_model_serving_deployment,Model Serving Deployment,,,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment
18_mlops_llmops_release_management,18_mlops_llmops_release_management,Mlops Llmops Release Management,,,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management
19_math_for_ai_practitioners,19_math_for_ai_practitioners,Math For Ai Practitioners,,,01_CANONICAL_RESEARCH_LANES/19_math_for_ai_practitioners
20_data_engineering_for_ai,20_data_engineering_for_ai,Data Engineering For Ai,,,01_CANONICAL_RESEARCH_LANES/20_data_engineering_for_ai
21_audio_speech_music_ai,21_audio_speech_music_ai,Audio Speech Music Ai,,,01_CANONICAL_RESEARCH_LANES/21_audio_speech_music_ai
22_vision_language_ocr_document_ai,22_vision_language_ocr_document_ai,Vision Language Ocr Document Ai,,,01_CANONICAL_RESEARCH_LANES/22_vision_language_ocr_document_ai
23_synthetic_data_dataset_creation,23_synthetic_data_dataset_creation,Synthetic Data Dataset Creation,,,01_CANONICAL_RESEARCH_LANES/23_synthetic_data_dataset_creation
24_ai_application_architecture,24_ai_application_architecture,Ai Application Architecture,,,01_CANONICAL_RESEARCH_LANES/24_ai_application_architecture
25_hardware_cost_performance_planning,25_hardware_cost_performance_planning,Hardware Cost Performance Planning,,,01_CANONICAL_RESEARCH_LANES/25_hardware_cost_performance_planning
RP26,26_comfyui_advanced_node_io_datatypes,"ComfyUI Advanced Node I/O, Datatypes, and Socket Contracts",canonical_advanced_comfyui_lane,fast_moving,01_CANONICAL_RESEARCH_LANES/26_comfyui_advanced_node_io_datatypes
RP27,27_comfyui_custom_node_development_patterns,ComfyUI Custom Node Development Patterns,canonical_advanced_comfyui_lane,fast_moving,01_CANONICAL_RESEARCH_LANES/27_comfyui_custom_node_development_patterns
RP28,28_comfyui_workflow_api_graph_subgraph_advanced,"ComfyUI Workflow API, Graph, and Subgraph Advanced Patterns",canonical_advanced_comfyui_lane,fast_moving,01_CANONICAL_RESEARCH_LANES/28_comfyui_workflow_api_graph_subgraph_advanced
RP29,29_comfyui_frontend_extensions_ui_controls,ComfyUI Frontend Extensions and UI Control Patterns,canonical_advanced_comfyui_lane,fast_moving,01_CANONICAL_RESEARCH_LANES/29_comfyui_frontend_extensions_ui_controls
RP30,30_comfyui_troubleshooting_migration_packaging,"ComfyUI Troubleshooting, Migration, and Packaging Safety",canonical_advanced_comfyui_lane,fast_moving,01_CANONICAL_RESEARCH_LANES/30_comfyui_troubleshooting_migration_packaging
