pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRAApplyLoRA,HyperLoRA Apply LoRA,HyperLoRA,schema_confirmed,active,model MODEL; lora LORA; weight FLOAT,MODEL,Apply generated LoRA to model,models/hyper_lora; insightface; CLIP/ArcFace depending config,guarded_generate_after_local_test,no,yes,"lora_apply,model_patch",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRABaseCond,HyperLoRA Base Cond,HyperLoRA,schema_confirmed,active,hyper_lora; images; face_attr; crop options,BASE_COND; IMAGE,Create base condition for base LoRA generation,models/hyper_lora; insightface; CLIP/ArcFace depending config,guarded_generate_after_local_test,no,yes,"identity,base_lora,face_crop",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRAConfig,HyperLoRA Config,HyperLoRA,schema_confirmed,active,"model architecture/options: image processor, image encoder, resampler dims, encoder types, face analyzer, lora rank",HYPER_LORA_CONFIG,Build HyperLoRA configuration object,models/hyper_lora; insightface; CLIP/ArcFace depending config,rag_only_expert,no,yes,"identity,hypernetwork,lora_config",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRAFaceAttr,HyperLoRA Face Attr,HyperLoRA,schema_confirmed,active,hyper_lora; images IMAGE,FACE_ATTR,Detect face attributes/landmarks for HyperLoRA pipeline,models/hyper_lora; insightface; CLIP/ArcFace depending config,guarded_generate_after_local_test,no,yes,"insightface,face_landmarks",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRAGenerateBaseLoRA,HyperLoRA Generate Base LoRA,HyperLoRA,schema_confirmed,active,hyper_lora; base_cond BASE_COND,LORA,Generate base LoRA weights,models/hyper_lora; insightface; CLIP/ArcFace depending config,guarded_generate_after_local_test,no,yes,"lora_generation,base_condition",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRAGenerateIDLoRA,HyperLoRA Generate ID LoRA,HyperLoRA,schema_confirmed,active,hyper_lora; id_cond ID_COND,LORA,Generate LoRA weights from ID condition,models/hyper_lora; insightface; CLIP/ArcFace depending config,guarded_generate_after_local_test,no,yes,"identity,lora_generation",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRAIDCond,HyperLoRA ID Cond,HyperLoRA,schema_confirmed,active,hyper_lora; images IMAGE; face_attr FACE_ATTR; grayscale; remove_background,ID_COND; IMAGE preview,Create ID condition tensors from face crop/ArcFace/CLIP pipeline,models/hyper_lora; insightface; CLIP/ArcFace depending config,guarded_generate_after_local_test,no,yes,"identity,face_crop,arcface,clip",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRALoader,HyperLoRA Loader,HyperLoRA,schema_confirmed,active,config HYPER_LORA_CONFIG; model folder; dtype fp16/bf16/fp32,HYPER_LORA,Load HyperLoRA modules/resamplers/ID projector/face analyzer,models/hyper_lora; insightface; CLIP/ArcFace depending config,guarded_generate_after_local_test,no,yes,"identity,model_loader,insightface",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRASaveLoRA,HyperLoRA Save LoRA,HyperLoRA,schema_confirmed,active,filename_prefix; lora LORA,OUTPUT_NODE,Save generated LoRA safetensors,models/hyper_lora; insightface; CLIP/ArcFace depending config,rag_only_output,no,yes,"file_output,lora_save",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
PASS_02I,87,ComfyUI-HyperLoRA,bytedance/ComfyUI-HyperLoRA,HyperLoRAUniGenerateIDLoRA,HyperLoRA Uni Generate ID LoRA,HyperLoRA,schema_confirmed,active,hyper_lora; images; grayscale; remove_background,LORA,Simplified face-attribute -> ID condition -> LoRA generation path,models/hyper_lora; insightface; CLIP/ArcFace depending config,guarded_generate_after_local_test,no,yes,"identity,lora_generation,wrapper",turn299file0;turn300file0,"2025+ identity/adaptation system; dense enough for RAG routing, still requires local model install and ethical gating."
