path,action
00_AI_READ_FIRST/WORKFLOW_PROMPT_AND_MARKDOWN_BRAND_POLICY.md,created
11_PROMPT_PACKS/TORCHIE_PERSONALITY_PROFILE.md,created
10_SCHEMA_AND_INDEX/torchie_personality_profile_v2_9.json,created
11_PROMPT_PACKS/default_workflow_prompts/README.md,created
11_PROMPT_PACKS/default_workflow_prompts/comfyui_workflow_builder_default_prompt.md,created
11_PROMPT_PACKS/default_workflow_prompts/comfyui_workflow_debugger_default_prompt.md,created
11_PROMPT_PACKS/default_workflow_prompts/gradio_workflow_app_default_prompt.md,created
11_PROMPT_PACKS/default_workflow_prompts/rag_ingestion_workflow_default_prompt.md,created
11_PROMPT_PACKS/default_workflow_prompts/source_verification_workflow_default_prompt.md,created
11_PROMPT_PACKS/default_workflow_prompts/model_path_checker_default_prompt.md,created
11_PROMPT_PACKS/default_workflow_prompts/workflow_release_qa_default_prompt.md,created
15_ANSWER_TEMPLATES/workflow_default_prompt_template.md,created
11_PROMPT_PACKS/README.md,updated
11_PROMPT_PACKS/AIWF_PROMPT_PACK_BRAND_NOTE.md,updated
11_PROMPT_PACKS/base_system_prompt.md,updated
11_PROMPT_PACKS/comfyui_workflow_assistant_prompt.md,updated
11_PROMPT_PACKS/gradio_app_builder_prompt.md,updated
11_PROMPT_PACKS/failure_diagnosis_prompt.md,updated
11_PROMPT_PACKS/rag_librarian_prompt.md,updated
00_AI_READ_FIRST/AIWF_HUMOR_AND_STYLE_GUIDE.md,updated
00_AI_READ_FIRST/AIWF_BRAND_ROLE_MAP.md,updated
12_RETRIEVAL_RECIPES/COMFYUI_ADVANCED_WORKFLOW_DESIGN_RECIPE.md,updated
12_RETRIEVAL_RECIPES/COMFYUI_WORKFLOW_API_GRADIO_BRIDGE_RECIPE.md,updated
15_ANSWER_TEMPLATES/README.md,updated
15_ANSWER_TEMPLATES/workflow_design_answer_template.md,updated
15_ANSWER_TEMPLATES/troubleshooting_answer_template.md,updated
11_PROMPT_PACKS/WORKFLOW_PROMPT_INDEX.md,created
AIWF_KNOWLEDGE_ADAPTER_PROFILE.json,updated
CHANGELOG.md,updated
README.md,updated
05_REPORTS/duplicate_file_policy_audit_v2_9.csv,created
03_SOURCE_CONTENT/A_CANONICAL_SOURCE_PACKS/aiwf_brand_voice_force_multiplier_sources/AIWF_force_multiplier_insert.md,replaced_with_pointer: 03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES/AIWF_Vol2_Training_The_Fear_RAG_v0_17_DATA_CENTRIC_ML/aiwf_vol2_training_the_fear_rag_v0_17/08_editorial/AIWF_FORCE_MULTIPLIER_INSERT.md
03_SOURCE_CONTENT/A_CANONICAL_SOURCE_PACKS/aiwf_brand_voice_force_multiplier_sources/AIWF_SENDOFF_MASTER.md,replaced_with_pointer: 03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES/AIWF-Project-Chat-Distribution-Roadmap-v0.6-cfg-denoise-inpaint-theory/AIWF-Project-Chat-Distribution-Roadmap/SENDOFF_MASTER.md
03_SOURCE_CONTENT/A_CANONICAL_SOURCE_PACKS/aiwf_brand_voice_force_multiplier_sources/AIWF_BRAND_HUB_HANDOFF.md,replaced_with_pointer: 03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES/AIWF-Project-Chat-Distribution-Roadmap-v0.6-cfg-denoise-inpaint-theory/AIWF-Project-Chat-Distribution-Roadmap/CHAT_HANDOFFS/01_brand_hub_chat.md
